fecha,y_pred,y_real,type,producto,modelo,stockmin,stockmean,stockmax,udsventa,udsstock,precio
2019-06-05,17460.67,18275.0,ALL,1,ALL,13919.0,18275.5,22632.0,2833.0,22632,3.78
2019-06-11,3553.24,2920.0,ALL,1,ALL,2224.0,2920.0,3616.0,1416.0,3616,3.78
2019-06-12,6558.955,6731.0,ALL,1,ALL,5127.0,6731.5,8336.0,1889.0,8336,3.78
2019-06-13,7922.845,7241.0,ALL,1,ALL,5515.0,7241.5,8968.0,5667.0,8968,3.78
2019-06-14,4757.16,3850.0,ALL,1,ALL,2932.0,3850.0,4768.0,3778.0,4768,3.78
2019-06-15,11750.185,13430.0,ALL,1,ALL,10229.0,13430.5,16632.0,944.0,16632,3.78
2019-06-17,424.005,407.0,ALL,1,ALL,310.0,407.0,504.0,9446.0,504,3.78
2019-06-18,4411.405,5051.0,ALL,1,ALL,3847.0,5051.5,6256.0,944.0,6256,3.78
2019-06-19,4679.005,2571.0,ALL,1,ALL,1958.0,2571.0,3184.0,1889.0,3184,3.78
2019-06-20,4268.53,3708.0,ALL,1,ALL,2824.0,3708.0,4592.0,8029.0,4592,3.78
2019-06-21,2070.13,484.0,ALL,1,ALL,369.0,484.5,600.0,4723.0,600,3.78
2019-06-22,10728.39,12616.0,ALL,1,ALL,9609.0,12616.5,15624.0,0.0,15624,3.78
2019-06-25,4554.2,4238.0,ALL,1,ALL,3228.0,4238.0,5248.0,944.0,5248,3.78
2019-07-03,4960.26,4722.0,ALL,1,ALL,3597.0,4722.5,5848.0,2361.0,5848,3.78
2019-07-10,10845.705,11621.0,ALL,1,ALL,8851.0,11621.5,14392.0,1416.0,14392,3.78
2019-07-11,4887.315,4657.0,ALL,1,ALL,3547.0,4657.5,5768.0,7557.0,5768,3.78
2019-07-12,9834.735,11408.0,ALL,1,ALL,8689.0,11408.5,14128.0,4250.0,14128,3.78
2019-07-15,4840.94,4619.0,ALL,1,ALL,3518.0,4619.0,5720.0,7557.0,5720,3.78
2019-07-16,5277.315,5504.0,ALL,1,ALL,4192.0,5504.0,6816.0,1889.0,6816,3.78
2019-07-18,5136.83,4354.0,ALL,1,ALL,3316.0,4354.0,5392.0,7557.0,5392,3.78
2019-07-19,4699.23,2603.0,ALL,1,ALL,1983.0,2603.5,3224.0,4250.0,3224,3.78
2019-07-20,9809.26,11350.0,ALL,1,ALL,8644.0,11350.0,14056.0,944.0,14056,3.78
2019-07-22,2322.395,2048.0,ALL,1,ALL,1560.0,2048.0,2536.0,6140.0,2536,3.78
2019-07-23,3221.005,2642.0,ALL,1,ALL,2012.0,2642.0,3272.0,2833.0,3272,3.78
2019-07-24,5959.84,5659.0,ALL,1,ALL,4310.0,5659.0,7008.0,1889.0,7008,3.78
2019-07-25,4492.02,4354.0,ALL,1,ALL,3316.0,4354.0,5392.0,7557.0,5392,3.78
2019-07-26,6176.13,6072.0,ALL,1,ALL,4625.0,6072.5,7520.0,3778.0,7520,3.78
2019-07-29,1776.11,1725.0,ALL,1,ALL,1314.0,1725.0,2136.0,7557.0,2136,3.78
2019-07-30,3533.92,3307.0,ALL,1,ALL,2519.0,3307.5,4096.0,1416.0,4096,3.78
2019-07-31,9812.795,11964.0,ALL,1,ALL,9112.0,11964.0,14816.0,0.0,14816,3.78
2019-08-01,5570.6,4561.0,ALL,1,ALL,3474.0,4561.0,5648.0,0.0,5648,3.78
2019-08-03,13440.81,15704.0,ALL,1,ALL,11961.0,15704.5,19448.0,0.0,19448,3.78
2019-08-07,6067.49,4367.0,ALL,1,ALL,3326.0,4367.0,5408.0,2361.0,5408,3.78
2019-08-13,12269.5,14664.0,ALL,1,ALL,11168.0,14664.0,18160.0,2833.0,18160,3.78
2019-08-16,34988.195,36802.0,ALL,1,ALL,28029.0,36802.5,45576.0,4723.0,45576,3.78
2019-08-17,48157.09,51299.0,ALL,1,ALL,39070.0,51299.0,63528.0,0.0,63528,3.78
2019-08-19,38753.065,40756.0,ALL,1,ALL,31040.0,40756.0,50472.0,8029.0,50472,3.78
2019-08-20,18777.06,10998.0,ALL,1,ALL,8376.0,10998.0,13620.0,32117.0,13620,3.78
2019-08-21,15055.685,18146.0,ALL,1,ALL,13820.0,18146.0,22472.0,8501.0,22472,3.78
2019-08-22,5979.895,568.0,ALL,1,ALL,433.0,568.5,704.0,24088.0,704,3.78
2019-08-23,6929.935,5807.0,ALL,1,ALL,4423.0,5807.5,7192.0,1416.0,7192,3.78
2019-09-10,4962.705,2778.0,ALL,1,ALL,2116.0,2778.0,3440.0,472.0,3440,3.78
2019-09-12,4426.505,4134.0,ALL,1,ALL,3149.0,4134.5,5120.0,6612.0,5120,3.78
2019-09-14,12826.98,12797.0,ALL,1,ALL,9747.0,12797.5,15848.0,1416.0,15848,3.78
2019-09-18,2377.91,1460.0,ALL,1,ALL,1112.0,1460.0,1808.0,1889.0,1808,3.78
2019-09-20,14736.025,16996.0,ALL,1,ALL,12945.0,16996.5,21048.0,3306.0,21048,3.78
2019-09-21,23320.92,28798.0,ALL,1,ALL,21933.0,28798.5,35664.0,472.0,35664,3.78
2019-09-23,25320.0,19496.0,ALL,1,ALL,14849.0,19496.5,24144.0,7084.0,24144,3.78
2019-09-24,29972.445,32823.0,ALL,1,ALL,24999.0,32823.5,40648.0,1889.0,40648,3.78
2019-09-25,42088.535,46111.0,ALL,1,ALL,35119.0,46111.5,57104.0,2361.0,57104,3.78
2019-09-26,30957.41,32235.0,ALL,1,ALL,24551.0,32235.5,39920.0,22671.0,39920,3.78
2019-09-27,20644.395,19793.0,ALL,1,ALL,15075.0,19793.5,24512.0,25977.0,24512,3.78
2019-09-28,25501.075,20840.0,ALL,1,ALL,15872.0,20840.0,25808.0,0.0,25808,3.78
2019-09-30,2951.295,2687.0,ALL,1,ALL,2047.0,2687.5,3328.0,10391.0,3328,3.78
2019-10-01,3010.745,2855.0,ALL,1,ALL,2175.0,2855.5,3536.0,0.0,3536,3.78
2019-10-02,3249.855,2157.0,ALL,1,ALL,1643.0,2157.5,2672.0,1889.0,2672,3.78
2019-10-03,3442.705,2590.0,ALL,1,ALL,1973.0,2590.5,3208.0,7084.0,3208,3.78
2019-10-04,4132.275,2132.0,ALL,1,ALL,1624.0,2132.0,2640.0,1416.0,2640,3.78
2019-10-05,7414.455,7492.0,ALL,1,ALL,5706.0,7492.0,9278.0,472.0,9278,3.78
2019-10-08,4152.885,2480.0,ALL,1,ALL,1889.0,2480.5,3072.0,1416.0,3072,3.78
2019-10-09,10210.36,14367.0,ALL,1,ALL,10942.0,14367.0,17792.0,1889.0,17792,3.78
2019-10-10,9068.96,3365.0,ALL,1,ALL,2563.0,3365.5,4168.0,17948.0,4168,3.78
2019-10-11,3394.515,1796.0,ALL,1,ALL,1368.0,1796.0,2224.0,1416.0,2224,3.78
2019-10-14,2157.995,1802.0,ALL,1,ALL,1373.0,1802.5,2232.0,6140.0,2232,3.78
2019-10-15,3571.015,2558.0,ALL,1,ALL,1948.0,2558.0,3168.0,2361.0,3168,3.78
2019-10-16,5451.49,4367.0,ALL,1,ALL,3326.0,4367.0,5408.0,944.0,5408,3.78
2019-10-18,3983.84,3197.0,ALL,1,ALL,2435.0,3197.5,3960.0,3306.0,3960,3.78
2019-10-19,10481.545,11660.0,ALL,1,ALL,8881.0,11660.5,14440.0,0.0,14440,3.78
2019-10-21,1710.325,1641.0,ALL,1,ALL,1250.0,1641.0,2032.0,7557.0,2032,3.78
2019-10-22,4677.47,5290.0,ALL,1,ALL,4029.0,5290.5,6552.0,1416.0,6552,3.78
2019-10-23,8118.23,9612.0,ALL,1,ALL,7321.0,9612.5,11904.0,944.0,11904,3.78
2019-10-24,4779.84,3927.0,ALL,1,ALL,2991.0,3927.5,4864.0,8501.0,4864,3.78
