"fecha";"producto";"udsVenta"
"20161201";"1";"6376,32"
"20200302";"1";"4723,20"
"20190402";"1";"2361,60"
"20180702";"1";"8501,76"
"20191002";"1";"1889,28"
"20161102";"1";"29047,68"
"20181102";"1";"3542,40"
"20170403";"1";"7084,80"
"20191003";"1";"7084,80"
"20171103";"1";"7084,80"
"20191203";"1";"41564,16"
"20190604";"1";"1889,28"
"20160804";"1";"7084,80"
"20181204";"1";"55969,92"
"20150805";"1";"19128,96"
"20170805";"1";"14169,60"
"20151005";"1";"9918,72"
"20161205";"1";"7793,28"
"20171205";"1";"9918,72"
"20170406";"1";"9210,24"
"20170506";"1";"10627,20"
"20160606";"1";"7084,80"
"20160806";"1";"7084,80"
"20200107";"1";"1416,96"
"20200307";"1";"2833,92"
"20180407";"1";"3542,40"
"20150807";"1";"6376,32"
"20150907";"1";"3542,40"
"20161107";"1";"4959,36"
"20171107";"1";"9918,72"
"20191107";"1";"6140,16"
"20191207";"1";"472,32"
"20190108";"1";"4250,88"
"20190208";"1";"8501,76"
"20180308";"1";"14169,60"
"20190308";"1";"6376,32"
"20170408";"1";"5667,84"
"20170508";"1";"8501,76"
"20160608";"1";"708,48"
"20180608";"1";"6376,32"
"20160808";"1";"4250,88"
"20190808";"1";"8029,44"
"20191008";"1";"1416,96"
"20191108";"1";"1889,28"
"20170109";"1";"4959,36"
"20180209";"1";"8501,76"
"20190309";"1";"1416,96"
"20180709";"1";"21254,40"
"20181109";"1";"4959,36"
"20191109";"1";"1889,28"
"20190810";"1";"472,32"
"20150910";"1";"9210,24"
"20160910";"1";"9210,24"
"20160111";"1";"9210,24"
"20170411";"1";"14878,08"
"20180911";"1";"3542,40"
"20161011";"1";"14878,08"
"20191011";"1";"1416,96"
"20190112";"1";"1416,96"
"20190212";"1";"2833,92"
"20200312";"1";"8501,76"
"20170412";"1";"8501,76"
"20190412";"1";"2833,92"
"20170512";"1";"21254,40"
"20170712";"1";"10627,20"
"20181112";"1";"8501,76"
