,producto,fecha_primera_venta,fecha_ultima_venta,freq_venta,venta_min,venta_q5,venta_q25,venta_median,venta_q75,venta_q95,venta_max,venta_iqr,venta_mean,venta_std,venta_CV,venta_skew,venta_kurtosis,venta_mad
0,1,2019-06-05,2020-03-22,292,0.0,0.0,472.0,1889.0,6140.0,12232.799999999988,41564.0,5668.0,4014.3390410958905,5951.822563403321,1.4800997835589969,3.4284711708375726,15.050233599222036,3784.9916025520733
1,10,2019-06-05,2020-03-22,292,0.0,0.0,0.0,1792.5,3032.5,5186.75,9490.0,3032.5,1878.4349315068494,1730.1637923413093,0.9194881405283507,0.760666644118332,0.5865302179373071,1398.3863998874085
2,11,2019-06-05,2020-03-22,292,0.0,0.0,551.0,1653.0,2755.0,4408.0,22041.0,2204.0,2058.7123287671234,2431.126410005912,1.1788727925570575,4.854331218874044,34.470111801584,1393.2915181084632
3,12,2019-06-05,2020-03-22,292,0.0,0.0,469.5,870.0,1283.75,1833.0499999999997,5057.0,814.25,899.6849315068494,698.4822549844583,0.7750326514877993,1.5465029400928056,6.426521859349707,504.8406830549822
4,13,2019-06-05,2020-03-22,292,0.0,0.0,0.0,1549.0,2442.5,3855.9999999999995,5421.0,2442.5,1507.4828767123288,1322.287706883231,0.8756461477272115,0.43564725536128135,-0.5890837593336706,1091.281173766185
5,14,2019-06-05,2020-03-22,292,0.0,0.0,171.0,1436.0,2494.5,4115.249999999998,6592.0,2323.5,1513.5513698630136,1462.195905741729,0.9644139124611018,0.7320343048119498,-0.11780899354074847,1246.7894304747606
6,15,2019-06-05,2020-03-22,292,0.0,0.0,0.0,472.0,944.0,1416.0,3306.0,944.0,581.9589041095891,573.9854444160967,0.98460861352012,0.9506942191152495,1.0755196749956175,470.81150309626577
7,17,2019-06-05,2020-03-22,292,0.0,0.0,1317.25,1934.5,2405.0,3350.8499999999995,6030.0,1087.75,1791.0753424657535,1109.6408823465351,0.6184771553237371,0.04763264297244089,0.34437151056771453,849.3953368361794
8,18,2019-06-05,2020-03-22,292,0.0,0.0,138.75,1566.5,2333.25,3794.2999999999993,9838.0,2194.5,1508.88698630137,1369.7514000127667,0.9062334927344479,1.2285018538657766,3.8865752618694955,1103.075014073935
9,19,2019-06-05,2020-03-22,292,0.0,0.0,278.5,1488.5,2267.25,3497.449999999998,7965.0,1988.75,1483.236301369863,1252.6455477781428,0.8430880272033247,0.8974180839181787,1.7213278174985787,1015.236301369863
10,2,2019-06-05,2020-03-22,292,0.0,0.0,787.0,2361.0,3542.0,4723.0,8265.0,2755.0,2359.25,1713.4277362609473,0.7250148430231604,0.21299199046453168,-0.4775515414282894,1448.4760273972602
11,20,2019-06-05,2020-03-22,292,0.0,0.0,3.0,1370.5,2191.25,2675.95,3819.0,2188.25,1283.5342465753424,1022.9318161741546,0.7955991210176219,-0.013434406669728923,-1.3140027427371008,889.8031525614563
12,21,2019-06-05,2020-03-22,292,0.0,0.0,1008.0,1291.0,1525.0,1968.0,3960.0,517.0,1145.876712328767,685.7885860437726,0.5974580651116724,-0.10680942311981036,0.9184283704360849,508.7975229874272
13,22,2019-06-05,2020-03-22,292,0.0,0.0,110.0,749.0,1034.25,1637.4499999999998,2640.0,924.25,696.2534246575342,539.3670442356257,0.7733429515363281,0.3805202690630767,-0.18222514481767904,442.7855601426159
14,23,2019-06-05,2020-03-22,292,0.0,0.0,0.0,1333.5,2051.0,2795.2,4832.0,2051.0,1254.6472602739725,1044.7281839023447,0.8312597210113513,0.3549779974271991,-0.3358303924073964,877.6573231375493
15,24,2019-06-05,2020-03-22,292,0.0,0.0,1197.25,2098.5,2599.0,3307.3999999999996,5254.0,1401.75,1837.2328767123288,1107.6677646539836,0.6018667859834432,-0.3052437458387273,-0.4476901199229091,908.1245074122726
16,26,2019-06-05,2020-03-22,292,0.0,0.0,266.0,959.0,1156.75,1579.9,2059.0,890.75,794.8493150684932,529.0193981394034,0.6644187220169249,-0.2158883989266374,-1.0241410722166313,455.90392193657345
17,28,2019-06-05,2020-03-22,292,0.0,0.0,0.0,782.0,1276.0,1828.199999999999,5047.0,1276.0,770.945205479452,708.4318899454698,0.9173385815829224,1.1390308409277965,3.893624778299949,557.2130793769938
18,29,2019-06-05,2020-03-22,292,0.0,0.0,0.0,348.0,1463.0,2560.2499999999995,4638.0,1463.0,809.4212328767123,940.9341581611068,1.160485479712821,1.0289448119280595,0.46814938467122325,812.5513933195722
19,3,2019-06-05,2020-03-22,292,0.0,0.0,944.0,2833.0,3778.0,6140.0,28339.0,2834.0,2953.1643835616437,3313.375078790165,1.1200516448997062,4.006013459327789,23.798634370149177,1939.6093075623946
20,30,2019-06-05,2020-03-22,292,0.0,0.0,282.5,492.0,651.5,923.5499999999997,1938.0,369.0,471.44520547945206,325.99417132271526,0.690293335479653,0.6374177934040264,1.8630216438293443,246.41241321073375
21,31,2019-06-05,2020-03-22,292,0.0,0.0,290.0,565.0,769.5,1420.5,5756.0,479.5,603.3835616438356,620.5003940150547,1.0266056642586687,4.2648522687769965,30.426936779940213,366.33083130043156
22,32,2019-06-05,2020-03-22,292,0.0,0.0,285.0,511.0,698.0,1047.05,2410.0,413.0,500.56164383561645,360.32847695853036,0.7186146829486991,0.9005146202831642,3.0543159648245117,271.7311878401201
23,35,2019-06-05,2020-03-22,292,0.0,0.0,334.0,777.0,1033.0,1345.5499999999995,3896.0,699.0,725.5376712328767,540.1046499894837,0.7431440729642946,1.4179007978648617,6.859546382523419,397.92233533495966
24,36,2019-06-05,2020-03-22,292,0.0,0.0,81.0,666.5,878.25,1192.6999999999998,2111.0,797.25,583.2328767123288,434.1124300679058,0.7430453025771517,0.12173481162292023,-0.5124018602507374,366.4069243760555
25,37,2019-06-05,2020-03-22,292,0.0,0.0,0.0,172.0,243.0,359.9,460.0,243.0,152.68150684931507,124.76971750376383,0.8157889587734879,0.07771848137696713,-1.1371128766189658,107.78520829423908
26,38,2019-06-05,2020-03-22,292,0.0,0.0,88.0,684.5,891.25,1231.35,2269.0,803.25,591.5308219178082,445.01932744082654,0.7510287512504998,0.2769991637810441,-0.06230118618388003,369.3125820979546
27,4,2019-06-05,2020-03-22,292,0.0,0.0,1771.0,4132.0,5904.0,8856.0,39556.0,4133.0,4212.236301369863,3780.015593294628,0.8958513109728924,3.435311069160789,26.567918400845706,2477.30005629574
28,40,2019-06-05,2020-03-22,292,0.0,0.0,206.0,361.0,503.0,704.1499999999999,1284.0,297.0,351.49657534246575,242.2072824789253,0.687893439793245,0.4854925716163083,0.9594519608466956,187.18164758866578
29,42,2019-06-05,2020-03-22,292,0.0,0.0,258.0,457.0,606.75,819.0,1830.0,348.75,429.8904109589041,299.0282916722917,0.6943998055742404,0.6397668455310033,2.31440704978755,230.77537999624693
30,43,2019-06-05,2020-03-22,292,0.0,0.0,115.75,693.5,1103.25,1943.7999999999995,4170.0,987.5,710.9623287671233,676.1351879546238,0.9493842387592419,1.1992591375687887,2.3240726773246516,541.7015387502346
31,45,2019-06-05,2020-03-22,292,0.0,0.0,122.25,604.5,1083.25,1988.75,5554.0,961.0,719.2876712328767,710.5290024711404,0.9861302065093752,1.7168840093954907,6.658912592668646,548.4042972415087
32,46,2019-06-05,2020-03-22,292,0.0,0.0,416.75,934.0,1304.25,2117.25,7576.0,887.5,952.5034246575342,822.1547144903312,0.8616721858411779,2.6181086636400974,15.66722651165297,551.7021486207543
33,48,2019-06-05,2020-03-22,292,0.0,0.0,285.25,523.0,687.75,888.1499999999999,1719.0,402.5,486.458904109589,326.1246705032025,0.6692564493470552,0.3474831006178165,0.9224765578810152,256.74737286545314
