fecha,festivo
2016-01-01,1
2016-01-11,1
2016-02-05,1
2016-03-24,1
2016-03-25,1
2016-04-23,1
2016-06-01,1
2016-06-12,1
2016-08-12,1
2016-08-15,1
2016-12-10,1
2016-12-26,1
2017-01-05,1
2017-01-11,1
2017-02-01,1
2017-04-13,1
2017-04-14,1
2017-04-24,1
2017-06-01,1
2017-06-12,1
2017-08-12,1
2017-08-15,1
2017-12-10,1
2017-12-25,1
2018-01-01,1
2018-01-05,1
2018-01-11,1
2018-03-29,1
2018-03-30,1
2018-04-23,1
2018-06-01,1
2018-06-12,1
2018-08-12,1
2018-08-15,1
2018-12-10,1
2018-12-25,1
2019-01-01,1
2019-01-05,1
2019-01-11,1
2019-04-18,1
2019-04-19,1
2019-04-23,1
2019-06-12,1
2019-07-01,1
2019-08-15,1
2019-09-12,1
2019-12-10,1
2019-12-25,1
