producto,fecha,udsprevisionempresa
87,2019-01-30,447
28,2019-01-30,969
72,2019-01-30,610
68,2019-01-30,461
21,2019-01-30,1382
18,2019-01-30,1928
71,2019-01-30,558
35,2019-01-30,1189
52,2019-01-30,617
15,2019-01-30,1416
14,2019-01-30,1924
62,2019-01-30,532
91,2019-01-30,292
47,2019-01-30,894
9,2019-01-30,4109
17,2019-01-30,934
58,2019-01-30,482
73,2019-01-30,469
42,2019-01-30,820
60,2019-01-30,334
3,2019-01-30,3684
97,2019-01-30,393
79,2019-01-30,504
10,2019-01-30,2290
78,2019-01-30,252
32,2019-01-30,1239
37,2019-01-30,1235
94,2019-01-30,358
76,2019-01-30,477
30,2019-01-30,1233
5,2019-01-30,4488
54,2019-01-30,894
40,2019-01-30,954
22,2019-01-30,1013
7,2019-01-30,1416
12,2019-01-30,2041
23,2019-01-30,1649
19,2019-01-30,1812
85,2019-01-30,270
2,2019-01-30,6659
63,2019-01-30,665
89,2019-01-30,194
1,2019-01-30,12327
45,2019-01-30,877
57,2019-01-30,1157
16,2019-01-30,1556
46,2019-01-30,942
48,2019-01-30,860
44,2019-01-30,1197
80,2019-01-30,432
74,2019-01-30,725
98,2019-01-30,326
88,2019-01-30,268
99,2019-01-30,634
66,2019-01-30,523
53,2019-01-30,956
11,2019-01-30,2093
55,2019-01-30,779
20,2019-01-30,1891
31,2019-01-30,990
61,2019-01-30,678
26,2019-01-30,1044
24,2019-01-30,1220
59,2019-01-30,387
50,2019-01-30,801
95,2019-01-30,356
49,2019-01-30,896
75,2019-01-30,335
13,2019-01-30,1485
43,2019-01-30,1057
36,2019-01-30,997
84,2019-01-30,295
96,2019-01-30,373
67,2019-01-30,787
77,2019-01-30,246
29,2019-01-30,1414
69,2019-01-30,884
59,2019-01-31,495
44,2019-01-31,775
77,2019-01-31,326
64,2019-01-31,804
3,2019-01-31,1983
14,2019-01-31,2128
18,2019-01-31,2260
72,2019-01-31,664
89,2019-01-31,387
26,2019-01-31,1232
42,2019-01-31,1007
91,2019-01-31,349
69,2019-01-31,981
88,2019-01-31,287
48,2019-01-31,942
5,2019-01-31,2727
32,2019-01-31,1335
12,2019-01-31,2416
1,2019-01-31,3684
24,2019-01-31,1205
53,2019-01-31,854
58,2019-01-31,419
54,2019-01-31,864
78,2019-01-31,345
63,2019-01-31,764
20,2019-01-31,1385
71,2019-01-31,648
28,2019-01-31,2153
43,2019-01-31,1145
21,2019-01-31,1544
10,2019-01-31,3911
61,2019-01-31,611
15,2019-01-31,1275
68,2019-01-31,512
4,2019-01-31,3660
96,2019-01-31,226
73,2019-01-31,440
55,2019-01-31,999
52,2019-01-31,571
67,2019-01-31,494
85,2019-01-31,429
11,2019-01-31,1542
33,2019-01-31,204
98,2019-01-31,308
75,2019-01-31,339
47,2019-01-31,1138
46,2019-01-31,1080
95,2019-01-31,346
40,2019-01-31,1132
83,2019-01-31,533
22,2019-01-31,1224
82,2019-01-31,787
84,2019-01-31,263
30,2019-01-31,1445
76,2019-01-31,506
9,2019-01-31,991
60,2019-01-31,410
17,2019-01-31,1024
49,2019-01-31,932
94,2019-01-31,282
2,2019-01-31,3400
38,2019-01-31,1000
79,2019-01-31,467
31,2019-01-31,1303
50,2019-01-31,1066
19,2019-01-31,1741
97,2019-01-31,398
23,2019-01-31,1249
57,2019-01-31,729
45,2019-01-31,970
62,2019-01-31,639
13,2019-01-31,3628
16,2019-01-31,1900
35,2019-01-31,1367
34,2019-01-31,524
7,2019-01-31,1731
66,2019-01-31,556
29,2019-01-31,1502
36,2019-01-31,1188
74,2019-01-31,885
37,2019-01-31,1312
87,2019-01-31,407
89,2019-02-27,340
32,2019-02-27,1230
35,2019-02-27,1245
75,2019-02-27,348
21,2019-02-27,1362
83,2019-02-27,237
72,2019-02-27,555
87,2019-02-27,554
88,2019-02-27,194
18,2019-02-27,1916
13,2019-02-27,1544
95,2019-02-27,374
15,2019-02-27,1275
12,2019-02-27,2296
74,2019-02-27,619
54,2019-02-27,863
60,2019-02-27,263
61,2019-02-27,678
71,2019-02-27,556
14,2019-02-27,2009
62,2019-02-27,541
46,2019-02-27,1011
43,2019-02-27,968
9,2019-02-27,4392
70,2019-02-27,768
38,2019-02-27,916
59,2019-02-27,363
45,2019-02-27,773
67,2019-02-27,818
53,2019-02-27,1030
94,2019-02-27,477
24,2019-02-27,2102
84,2019-02-27,251
19,2019-02-27,1832
57,2019-02-27,1139
1,2019-02-27,11760
3,2019-02-27,4250
20,2019-02-27,1891
69,2019-02-27,866
26,2019-02-27,910
40,2019-02-27,981
50,2019-02-27,751
98,2019-02-27,350
22,2019-02-27,852
78,2019-02-27,332
48,2019-02-27,815
17,2019-02-27,996
16,2019-02-27,1641
82,2019-02-27,708
96,2019-02-27,373
73,2019-02-27,560
79,2019-02-27,504
4,2019-02-27,4132
34,2019-02-27,1623
29,2019-02-27,1375
30,2019-02-27,1197
52,2019-02-27,728
28,2019-02-27,1300
97,2019-02-27,377
58,2019-02-27,30
33,2019-02-27,1495
10,2019-02-27,1966
37,2019-02-27,400
91,2019-02-27,301
77,2019-02-27,205
11,2019-02-27,1322
47,2019-02-27,962
55,2019-02-27,749
44,2019-02-27,1197
64,2019-02-27,788
23,2019-02-27,1822
7,2019-02-27,2440
85,2019-02-27,380
36,2019-02-27,1006
31,2019-02-27,1158
42,2019-02-27,807
68,2019-02-27,421
63,2019-02-27,670
66,2019-02-27,510
2,2019-02-27,6659
76,2019-02-27,506
80,2019-02-27,541
49,2019-02-27,1191
5,2019-02-27,4549
99,2019-02-27,442
2,2019-02-28,16436
35,2019-02-28,6266
91,2019-02-28,1360
29,2019-02-28,5689
17,2019-02-28,3421
59,2019-02-28,1749
70,2019-02-28,2260
74,2019-02-28,2984
98,2019-02-28,1208
97,2019-02-28,1499
14,2019-02-28,8612
82,2019-02-28,3148
89,2019-02-28,1565
19,2019-02-28,6298
62,2019-02-28,2664
24,2019-02-28,8140
48,2019-02-28,4156
52,2019-02-28,2070
20,2019-02-28,5543
49,2019-02-28,5077
40,2019-02-28,5225
84,2019-02-28,951
23,2019-02-28,5166
73,2019-02-28,1551
78,2019-02-28,1668
4,2019-02-28,16058
69,2019-02-28,4380
26,2019-02-28,3992
83,2019-02-28,633
7,2019-02-28,10705
37,2019-02-28,1597
85,2019-02-28,1526
15,2019-02-28,6234
11,2019-02-28,9257
44,2019-02-28,2976
58,2019-02-28,92
60,2019-02-28,1500
46,2019-02-28,5108
79,2019-02-28,1852
63,2019-02-28,3442
96,2019-02-28,905
10,2019-02-28,14653
87,2019-02-28,1552
21,2019-02-28,6258
67,2019-02-28,2061
31,2019-02-28,5850
1,2019-02-28,16436
28,2019-02-28,9086
68,2019-02-28,1546
77,2019-02-28,1213
53,2019-02-28,3022
30,2019-02-28,6157
76,2019-02-28,2302
42,2019-02-28,4325
32,2019-02-28,6211
43,2019-02-28,4033
66,2019-02-28,2684
94,2019-02-28,994
55,2019-02-28,4065
5,2019-02-28,10107
36,2019-02-28,4544
3,2019-02-28,9635
54,2019-02-28,3411
34,2019-02-28,1962
22,2019-02-28,4017
64,2019-02-28,3295
95,2019-02-28,1387
71,2019-02-28,2815
13,2019-02-28,13760
16,2019-02-28,7195
75,2019-02-28,1487
18,2019-02-28,8037
61,2019-02-28,2444
57,2019-02-28,2275
88,2019-02-28,1185
33,2019-02-28,1936
50,2019-02-28,3767
9,2019-02-28,6234
45,2019-02-28,3266
12,2019-02-28,11571
38,2019-02-28,3711
72,2019-02-28,2843
47,2019-02-28,4310
55,2019-03-01,4495
12,2019-03-01,10237
74,2019-03-01,3075
38,2019-03-01,3728
23,2019-03-01,7876
75,2019-03-01,2187
40,2019-03-01,5951
95,2019-03-01,1719
5,2019-03-01,13607
69,2019-03-01,4990
11,2019-03-01,7934
16,2019-03-01,9791
71,2019-03-01,3695
45,2019-03-01,5507
30,2019-03-01,8926
99,2019-03-01,752
60,2019-03-01,793
76,2019-03-01,1948
48,2019-03-01,4368
54,2019-03-01,4001
4,2019-03-01,20664
61,2019-03-01,3143
7,2019-03-01,6140
87,2019-03-01,2118
10,2019-03-01,11288
85,2019-03-01,3024
46,2019-03-01,5688
88,2019-03-01,1616
89,2019-03-01,1863
17,2019-03-01,3626
34,2019-03-01,8580
97,2019-03-01,991
50,2019-03-01,2817
42,2019-03-01,4935
9,2019-03-01,8501
81,2019-03-01,10245
22,2019-03-01,3640
13,2019-03-01,8979
36,2019-03-01,2597
70,2019-03-01,2112
78,2019-03-01,2352
