id,iniciopromo,finpromo,semanainicio,semanafin,producto,preciotarifa,preciopromocion,cantidad,tipopromo,ahorro
4,2015-12-09,2016-01-03,50,1,88,3.6105,3.5805,,,0.03000000000000025
40,2015-12-28,2016-01-10,53,2,44,3.6105,3.5805,,,0.03000000000000025
30,2015-12-28,2016-01-16,53,3,57,3.4626,3.1434,,,0.31919999999999993
43,2015-12-30,2016-01-09,53,2,87,4.959,5.022,,,-0.06300000000000061
27,2015-12-30,2016-01-30,53,5,19,4.39176,4.458419999999999,,,-0.06665999999999972
44,2015-12-30,2016-01-09,53,2,70,4.176,4.185,,,-0.008999999999999453
11,2016-01-04,2016-01-08,2,2,46,4.03941,3.9190199999999997,,,0.12039000000000044
12,2016-01-04,2016-01-08,2,2,46,4.03941,3.9190199999999997,,,0.12039000000000044
13,2016-01-04,2016-01-08,2,2,46,4.03941,3.9190199999999997,,,0.12039000000000044
14,2016-01-04,2016-01-08,2,2,46,4.03941,3.9190199999999997,,,0.12039000000000044
37,2016-01-05,2016-01-25,2,5,50,5.6898,5.59395,,,0.09584999999999955
38,2016-01-05,2016-01-25,2,5,50,5.6898,5.59395,,,0.09584999999999955
39,2016-01-05,2016-01-25,2,5,50,5.6898,5.59395,,,0.09584999999999955
17,2016-01-05,2016-01-15,2,3,32,4.263,4.185,,,0.07800000000000029
18,2016-01-05,2016-01-15,2,3,32,4.263,4.185,,,0.07800000000000029
16,2016-01-05,2016-01-15,2,3,32,4.263,4.185,,,0.07800000000000029
15,2016-01-05,2016-01-15,2,3,32,4.263,4.185,,,0.07800000000000029
47,2016-01-11,2016-01-16,3,3,94,3.6975,3.6735,,,0.023999999999999577
60,2016-01-11,2016-01-18,3,4,59,4.9938,4.8081,,,0.18570000000000064
63,2016-01-11,2016-01-16,3,3,70,4.176,4.185,,,-0.008999999999999453
61,2016-01-11,2016-01-18,3,4,67,4.3935,4.2315,,,0.1620000000000008
62,2016-01-11,2016-01-16,3,3,71,3.6105,3.5805,,,0.03000000000000025
19,2016-01-13,2016-01-22,3,4,30,4.3935,4.4175,,,-0.02400000000000002
22,2016-01-13,2016-01-22,3,4,30,4.3935,4.4175,,,-0.02400000000000002
21,2016-01-13,2016-01-22,3,4,30,4.3935,4.4175,,,-0.02400000000000002
20,2016-01-13,2016-01-22,3,4,30,4.3935,4.4175,,,-0.02400000000000002
28,2016-01-14,2016-01-30,3,5,33,6.21702,4.98387,,,1.2331500000000002
75,2016-01-14,2016-01-22,3,4,10,3.741,3.999,,,-0.258
76,2016-01-14,2016-01-22,3,4,10,3.741,3.999,,,-0.258
77,2016-01-14,2016-01-22,3,4,10,3.741,3.999,,,-0.258
29,2016-01-14,2016-01-30,3,5,34,6.21702,4.98387,,,1.2331500000000002
79,2016-01-14,2016-01-22,3,4,10,3.741,3.999,,,-0.258
78,2016-01-14,2016-01-22,3,4,10,3.741,3.999,,,-0.258
74,2016-01-15,2016-01-25,3,5,10,3.741,3.999,,,-0.258
23,2016-01-16,2016-01-25,3,5,64,3.85497,3.66048,,,0.1944899999999996
89,2016-01-18,2016-01-24,4,4,88,3.6105,3.5805,,,0.03000000000000025
95,2016-01-18,2016-01-19,4,4,22,5.76375,5.5428,,,0.2209500000000002
91,2016-01-18,2016-01-19,4,4,68,6.14394,5.9148,,,0.22914000000000012
98,2016-01-18,2016-01-19,4,4,22,5.76375,5.5428,,,0.2209500000000002
99,2016-01-18,2016-01-19,4,4,17,6.11523,5.8776,,,0.23763000000000023
100,2016-01-18,2016-01-23,4,4,71,3.6105,3.5805,,,0.03000000000000025
94,2016-01-18,2016-01-19,4,4,68,6.14394,5.9148,,,0.22914000000000012
92,2016-01-18,2016-01-19,4,4,22,5.76375,5.5428,,,0.2209500000000002
88,2016-01-18,2016-01-24,4,4,94,3.6975,3.6735,,,0.023999999999999577
93,2016-01-18,2016-01-19,4,4,17,6.11523,5.8776,,,0.23763000000000023
97,2016-01-18,2016-01-19,4,4,68,6.14394,5.9148,,,0.22914000000000012
96,2016-01-18,2016-01-19,4,4,17,6.11523,5.8776,,,0.23763000000000023
132,2016-01-22,2016-01-29,4,5,23,3.6975,3.9525,,ABONO 20% FINAL PROMO,-0.25500000000000034
131,2016-01-22,2016-01-29,4,5,61,3.48,3.72,,ABONO 20% FINAL PROMO,-0.2400000000000002
24,2016-01-23,2016-02-01,4,6,16,4.02375,4.04922,,,-0.025470000000000326
137,2016-01-25,2016-01-31,5,5,98,3.393,3.348,,PRECIO,0.04499999999999993
136,2016-01-25,2016-01-31,5,5,23,3.7845,3.7665,,PRECIO,0.017999999999999794
128,2016-01-25,2016-02-07,5,6,44,3.6105,3.534,,PRECIO,0.07650000000000023
120,2016-01-25,2016-01-26,5,5,59,6.2814,6.045,,,0.23639999999999972
119,2016-01-25,2016-01-26,5,5,59,6.2814,6.045,,,0.23639999999999972
107,2016-01-25,2016-01-26,5,5,38,5.4549,5.2545,,,0.20040000000000013
106,2016-01-25,2016-01-26,5,5,38,5.4549,5.2545,,,0.20040000000000013
116,2016-01-25,2016-01-26,5,5,36,4.7676,4.5942,,,0.1734
115,2016-01-25,2016-01-26,5,5,36,4.7676,4.5942,,,0.1734
111,2016-01-25,2016-01-26,5,5,26,4.94682,4.7616,,,0.18522000000000016
110,2016-01-25,2016-01-26,5,5,26,4.94682,4.7616,,,0.18522000000000016
109,2016-01-25,2016-01-26,5,5,26,4.94682,4.7616,,,0.18522000000000016
108,2016-01-25,2016-01-26,5,5,38,5.4549,5.2545,,,0.20040000000000013
102,2016-01-25,2016-01-30,5,5,44,3.6105,3.5805,,,0.03000000000000025
104,2016-01-25,2016-01-30,5,5,20,3.4365,3.3945,,,0.04200000000000026
117,2016-01-25,2016-01-26,5,5,36,4.7676,4.5942,,,0.1734
118,2016-01-25,2016-01-26,5,5,59,6.2814,6.045,,,0.23639999999999972
103,2016-01-25,2016-01-30,5,5,67,4.35,4.371,,,-0.021000000000000796
70,2016-01-27,2016-02-11,5,7,26,3.6714,3.9246,,MERCANCÍA SIN CARGO,-0.25319999999999965
69,2016-01-27,2016-02-11,5,7,38,3.6714,3.9246,,MERCANCÍA SIN CARGO,-0.25319999999999965
67,2016-01-27,2016-02-11,5,7,36,3.654,3.906,,MERCANCÍA SIN CARGO,-0.2520000000000002
72,2016-01-27,2016-02-11,5,7,36,3.654,3.906,,MERCANCÍA SIN CARGO,-0.2520000000000002
65,2016-01-27,2016-02-11,5,7,26,3.6714,3.9246,,MERCANCÍA SIN CARGO,-0.25319999999999965
64,2016-01-27,2016-02-11,5,7,38,3.6714,3.9246,,MERCANCÍA SIN CARGO,-0.25319999999999965
148,2016-01-27,2016-02-08,5,7,59,6.2814,5.9055,,PRECIO,0.3758999999999997
147,2016-01-27,2016-02-08,5,7,59,6.2814,5.9055,,PRECIO,0.3758999999999997
146,2016-01-27,2016-02-08,5,7,59,6.2814,5.9055,,PRECIO,0.3758999999999997
134,2016-01-27,2016-02-08,5,7,59,6.2814,5.9148,,PRECIO,0.36660000000000004
49,2016-01-29,2016-02-05,5,6,42,4.7415,4.65,,,0.09149999999999991
50,2016-01-29,2016-02-05,5,6,42,4.7415,4.65,,,0.09149999999999991
51,2016-01-29,2016-02-05,5,6,42,4.7415,4.65,,,0.09149999999999991
48,2016-01-29,2016-02-05,5,6,42,4.7415,4.65,,,0.09149999999999991
182,2016-02-01,2016-02-02,6,6,50,5.68806,5.4684,,PRECIO,0.2196600000000002
183,2016-02-01,2016-02-02,6,6,50,5.68806,5.4684,,PRECIO,0.2196600000000002
181,2016-02-01,2016-02-02,6,6,50,5.68806,5.4684,,PRECIO,0.2196600000000002
153,2016-02-01,2016-02-07,6,6,96,4.9155,4.9755,,PRECIO,-0.0600000000000005
150,2016-02-01,2016-02-07,6,6,74,1.1745,0.9765,,PRECIO,0.19800000000000006
53,2016-02-05,2016-02-12,6,7,35,4.6545,4.371,,,0.2834999999999992
54,2016-02-05,2016-02-12,6,7,35,4.6545,4.371,,,0.2834999999999992
