fecha,producto,udsstock,udsventa,udsprevisionempresa,promo,festivo,weekday
2019-06-05,1,18275.0,2833.0,102304.0,0.0,0.0,2
2019-06-05,10,2267.0,1874.0,36888.0,1.0,0.0,2
2019-06-05,11,2506.0,2755.0,31078.0,0.0,0.0,2
2019-06-05,12,1279.0,1161.0,33661.0,0.0,0.0,2
2019-06-05,13,2493.0,1603.0,32119.0,1.0,0.0,2
2019-06-05,14,1332.0,1626.0,30253.0,0.0,0.0,2
2019-06-05,15,1447.0,472.0,16814.0,0.0,0.0,2
2019-06-05,17,3755.0,2270.0,38503.0,0.0,0.0,2
2019-06-05,18,2962.0,1794.0,39619.0,0.0,0.0,2
2019-06-05,19,1432.0,2196.0,37116.0,0.0,0.0,2
2019-06-05,2,3837.0,1968.0,81475.0,0.0,0.0,2
2019-06-05,20,2684.0,1920.0,34906.0,0.0,0.0,2
2019-06-05,21,,1697.0,21613.0,0.0,0.0,2
2019-06-05,22,3265.0,894.0,15650.0,0.0,0.0,2
2019-06-05,23,1156.0,2201.0,29764.0,1.0,0.0,2
2019-06-05,24,357.0,3614.0,40808.0,0.0,0.0,2
2019-06-05,26,2957.0,1649.0,16016.0,1.0,0.0,2
2019-06-05,28,1939.0,1062.0,20196.0,0.0,0.0,2
2019-06-05,29,2015.0,1343.0,24429.0,0.0,0.0,2
2019-06-05,3,21893.0,3778.0,60740.0,0.0,0.0,2
2019-06-05,30,1266.0,738.0,11310.0,0.0,0.0,2
2019-06-05,31,387.0,718.0,16221.0,0.0,0.0,2
2019-06-05,32,478.0,560.0,13299.0,0.0,0.0,2
2019-06-05,35,620.0,1003.0,17066.0,0.0,0.0,2
2019-06-05,36,1708.0,865.0,17136.0,1.0,0.0,2
2019-06-05,37,466.0,223.0,2915.0,0.0,0.0,2
2019-06-05,38,3466.0,676.0,11432.0,1.0,0.0,2
2019-06-05,4,1253.0,4132.0,67541.0,0.0,0.0,2
2019-06-05,40,48.0,501.0,10473.0,1.0,0.0,2
2019-06-05,42,765.0,523.0,12574.0,0.0,0.0,2
2019-06-05,43,1053.0,891.0,20197.0,0.0,0.0,2
2019-06-05,45,967.0,685.0,16571.0,0.0,0.0,2
2019-06-05,46,1608.0,929.0,16128.0,0.0,0.0,2
2019-06-05,48,494.0,664.0,11678.0,0.0,0.0,2
2019-06-05,49,179.0,1468.0,20390.0,0.0,0.0,2
2019-06-05,5,,3055.0,76489.0,0.0,0.0,2
2019-06-05,50,2472.0,722.0,11798.0,1.0,0.0,2
2019-06-05,52,,931.0,11919.0,0.0,0.0,2
2019-06-05,53,,723.0,14937.0,0.0,0.0,2
2019-06-05,55,1053.0,757.0,15237.0,0.0,0.0,2
2019-06-05,57,2057.0,1124.0,16515.0,0.0,0.0,2
2019-06-05,58,45.0,14.0,299.0,0.0,0.0,2
2019-06-05,59,846.0,803.0,8399.0,1.0,0.0,2
2019-06-05,60,,248.0,4255.0,0.0,0.0,2
2019-06-05,61,1206.0,722.0,14448.0,0.0,0.0,2
2019-06-05,62,445.0,383.0,6873.0,0.0,0.0,2
2019-06-05,63,466.0,236.0,7269.0,0.0,0.0,2
2019-06-05,64,1224.0,666.0,13529.0,0.0,0.0,2
2019-06-05,66,471.0,295.0,5904.0,0.0,0.0,2
2019-06-05,67,812.0,676.0,15463.0,0.0,0.0,2
2019-06-05,68,1545.0,392.0,7451.0,0.0,0.0,2
2019-06-05,69,995.0,701.0,11673.0,1.0,0.0,2
2019-06-05,72,,615.0,7746.0,0.0,0.0,2
2019-06-05,73,3.0,1001.0,9645.0,1.0,0.0,2
2019-06-05,74,1841.0,313.0,10065.0,0.0,0.0,2
2019-06-05,77,925.0,180.0,4754.0,0.0,0.0,2
2019-06-05,78,84.0,455.0,7047.0,0.0,0.0,2
2019-06-05,79,607.0,415.0,10736.0,0.0,0.0,2
2019-06-05,80,,,16295.0,0.0,0.0,2
2019-06-05,84,81.0,501.0,4412.0,1.0,0.0,2
2019-06-05,85,45.0,393.0,4947.0,0.0,0.0,2
