producto,fecha_primer_stock,fecha_ultimo_stock,freq_stock,stock_min,stock_q5,stock_q25,stock_median,stock_q75,stock_q95,stock_max,stock_iqr,stock_mean,stock_std,stock_CV,stock_skew,stock_kurtosis,stock_mad
1,2019-06-05,2020-03-26,391,172,828.5,2540.0,4625.0,11180.0,40284.0,80160,8640.0,9905.84398976982,13189.272985104162,1.3314638307170266,2.6233923637653325,7.395658694101572,8749.321642323115
10,2019-06-05,2020-03-26,413,15,224.0,841.0,1579.0,2424.0,3945.5999999999995,6984,1583.0,1700.8595641646489,1143.9802639502036,0.672589488310901,1.0043767519245672,1.4881907723335228,889.0114968136064
11,2019-06-05,2020-03-26,371,39,541.0,1921.5,3360.0,4960.0,8515.0,38528,3038.5,3954.1913746630726,3515.375254050452,0.8890250675714925,4.254448023910044,30.77078592192631,2142.5026990504284
12,2019-06-05,2020-03-26,407,30,369.8,964.0,1456.0,2088.0,3324.3999999999996,9088,1124.0,1640.4791154791155,1041.0983277342434,0.6346306502232929,1.958846296276345,7.98320829290031,751.1688570410929
13,2019-06-05,2020-03-26,399,10,704.1000000000001,1643.0,2578.0,3508.5,5396.799999999998,7712,1865.5,2749.40350877193,1460.457324976704,0.5311906092783898,0.6224759493552005,0.20196852558936484,1163.5127291913996
14,2019-06-05,2020-03-26,341,1,6.0,108.0,704.0,1558.0,2714.0,4830,1450.0,944.1759530791788,937.7606797466334,0.9932054260526086,1.027773209602999,0.6014628715093404,776.9188431472037
15,2019-06-05,2020-03-26,397,20,206.4,776.0,1245.0,1784.0,3198.0,5802,1008.0,1387.4987405541563,945.3634986443667,0.6813436805476275,1.4280103112504803,3.025549898875851,708.0312926292281
16,2019-06-05,2020-01-23,298,2,68.20000000000002,496.0,1066.0,1660.75,2692.0999999999995,3840,1164.75,1160.6644295302012,816.398299428414,0.7033887475632083,0.5024800357945097,-0.3819880385914911,674.686725823161
17,2019-06-05,2020-03-26,399,7,172.0,1229.0,2728.0,3974.0,5794.0,8154,2745.0,2759.2080200501255,1834.6533319891084,0.6649202664885621,0.45795732659345995,-0.32822615461878835,1490.5704863662916
18,2019-06-05,2020-03-26,351,2,22.0,270.0,932.0,1609.0,2861.0,4628,1339.0,1125.1424501424501,948.8324025987988,0.8432997994864296,0.9373924573064255,0.6928901921667929,761.9238480207141
19,2019-06-05,2020-03-26,372,1,100.00000000000001,749.0,1489.0,2286.5,3485.8999999999996,5402,1537.5,1615.8333333333333,1069.575155180138,0.6619340826282444,0.718735835987517,0.4153184845971558,853.2195340501792
2,2019-06-05,2020-03-26,365,79,389.0,1535.0,2608.0,3976.0,7191.200000000001,18386,2441.0,3015.2082191780823,2335.8740005906902,0.7746974108565635,2.270149508448922,9.710086095035143,1644.0416438356162
20,2019-06-05,2020-03-26,407,1,144.1,1090.0,1806.0,2812.0,4546.0,7274,1722.0,2010.6314496314496,1309.06964548968,0.651073893094447,0.7986609672268955,0.7560703855562445,1029.9481312896548
21,2019-06-11,2020-03-26,367,25,217.5,773.5,1599.0,2393.0,3627.9999999999995,5040,1619.5,1691.5367847411444,1112.358835218201,0.6576025098906884,0.5320883963175879,-0.42887503052872944,918.9271729688394
22,2019-06-05,2020-03-26,411,11,792.0,1359.0,1904.0,2478.5,3628.0,5232,1119.5,2007.9659367396594,893.6860221318989,0.4450703100984771,0.7195005672454158,0.5966023149025901,699.4900219629295
23,2019-06-05,2020-03-26,413,5,276.0,1667.0,2590.0,3742.0,5885.2,11716,2075.0,2796.1113801452784,1719.21768367913,0.6148602290620497,1.0519959053146108,2.9145902871798963,1314.7595049510755
24,2019-06-05,2020-03-26,395,4,39.400000000000006,508.0,968.0,1572.0,2618.399999999998,6390,1064.0,1139.040506329114,864.9853544018489,0.7593982387768748,1.4679836142093163,4.338892741922994,657.5231917961864
26,2019-06-05,2020-03-26,409,117,483.0,1023.0,1509.0,2092.0,3201.5999999999995,5530,1069.0,1642.4229828850855,871.20573961895,0.5304393257384815,1.052164368611154,1.6281645333835675,674.3583670590205
28,2019-06-05,2020-03-26,411,64,519.0,1293.5,1816.0,2479.0,3711.0,5380,1185.5,1939.0900243309002,960.5956430448915,0.49538475831020456,0.7029617008101643,0.6202343762358296,756.3507319989818
29,2019-06-05,2020-01-24,286,1,4.0,550.5,1118.5,1539.5,2397.5,4060,989.0,1110.9685314685314,754.3063659701533,0.6789628550262131,0.47184747294880297,0.22635320948493032,604.1715487309892
3,2019-06-05,2020-03-26,359,148,438.8,2012.5,3680.0,5996.0,16743.399999999976,42664,3983.5,5178.66852367688,5898.94749383887,1.1390857450846443,3.300492056055867,13.657043248399034,3534.308951668593
30,2019-06-05,2020-03-26,395,30,392.9000000000001,785.5,1052.0,1424.0,2020.7999999999993,2818,638.5,1130.367088607595,502.4393889049983,0.44449223085919065,0.5404915975392551,0.2804666325190679,395.7949046627143
31,2019-06-05,2020-03-26,395,10,185.7000000000001,610.0,935.0,1312.0,2039.4999999999989,4352,702.0,1020.9746835443038,627.8068338886155,0.6149093057911974,1.4755502970963188,4.350570920046631,458.573561929178
32,2019-06-05,2020-03-26,403,98,464.0,797.0,1072.0,1433.5,2076.7999999999993,2992,636.5,1144.377171215881,509.2617343806775,0.4450121403938842,0.7259032936253007,0.5766617024268119,403.97207051333356
35,2019-06-05,2020-03-26,397,49,500.0,905.0,1309.0,1801.0,2784.0,5408,896.0,1428.410579345088,747.2991032282686,0.5231682781087339,1.2599970329839345,2.776024004162082,563.1217379718163
36,2019-06-05,2020-03-26,415,49,369.20000000000005,927.0,1245.0,1776.0,2654.899999999997,4388,849.0,1371.6915662650601,712.0205319877924,0.5190820950562032,1.0751542701791283,2.0653678168915572,540.0847844389607
37,2019-06-05,2020-03-23,328,2,28.700000000000003,251.75,365.0,494.5,688.65,1120,242.75,370.2317073170732,199.63405657624745,0.5392138291528803,0.31019520188560173,0.25921204938277853,155.95739143367047
38,2019-06-05,2020-03-26,411,1,808.0,1439.5,1883.0,2538.0,3530.0,4410,1098.5,1996.9586374695864,847.6416958989404,0.4244663259390368,0.3950715219995849,0.2330693321833217,668.5913770342349
4,2019-06-05,2020-03-26,337,34,215.2,1181.0,4144.0,7536.0,13567.999999999996,24640,6355.0,4974.118694362018,4473.492563759615,0.8993538028817358,1.273672976074954,1.7986651743405444,3493.451751798466
40,2019-06-05,2020-03-26,403,7,199.0,498.0,753.0,1080.0,1677.5999999999995,2520,582.0,819.6253101736972,451.30481481501454,0.5506233265531695,0.7929296973678558,0.6332968949194622,355.9656053543832
42,2019-06-05,2020-03-26,393,89,288.0,561.0,797.0,1116.0,1681.1999999999998,2736,555.0,869.058524173028,449.2723358612963,0.5169644199610277,1.0290076120471658,1.4461936554148753,346.4543765255845
43,2019-06-05,2020-03-26,349,1,7.0,135.0,399.0,740.0,1280.0,3530,605.0,490.4154727793696,444.9221640453033,0.9072351684251749,1.6527847073118156,6.0513459023555285,345.11563944466803
44,2019-06-05,2019-10-05,134,12,20.0,96.0,953.0,1615.25,2689.8999999999987,3666,1519.25,1072.1194029850747,910.7395412254376,0.8494758500682749,0.6292937789454514,-0.37313659097696084,754.6936957006014
45,2019-06-05,2020-03-26,346,1,34.5,410.25,723.0,1036.0,1693.5,2896,625.75,777.5982658959538,528.340401796888,0.679451620417557,1.106729760914674,2.125951776585479,399.91944268101173
46,2019-06-05,2020-03-26,405,237,724.0,1392.0,1904.0,2603.0,4467.2,11096,1211.0,2141.437037037037,1273.5015011288124,0.5946948143247166,2.7008601363937004,13.306784226325597,858.3812345679013
47,2019-06-05,2020-01-23,300,5,52.15000000000002,363.0,702.5,1132.5,1826.3000000000006,2536,769.5,804.9266666666666,551.6945570117067,0.6853972912791725,0.7285032670577397,0.006673365928885122,449.4045333333334
48,2019-06-05,2020-03-26,403,37,325.0,605.0,841.0,1170.0,1774.7999999999997,2868,565.0,924.3101736972704,467.90314574889436,0.5062187554176394,1.0288716832366989,1.5060298644257655,362.82824227721363
49,2019-06-05,2020-03-26,383,7,121.40000000000002,561.5,871.0,1239.0,2150.3999999999996,7848,677.5,1014.9373368146214,866.5441117645003,0.8537907517366018,3.9430562836111265,24.16786717391504,522.7543714934317
5,2019-06-15,2020-03-26,235,5,198.00000000000006,708.0,2652.0,6677.0,11341.199999999997,14916,5969.0,3847.5148936170212,3667.0949101305578,0.9531073982882358,0.8863928089282962,-0.2157507139010324,3116.0641738343143
50,2019-06-05,2020-03-26,411,31,704.0,1194.5,1614.0,2130.5,2906.0,4852,936.0,1684.1751824817518,705.5007309927961,0.4188998498084921,0.5532899005747809,0.644848241652634,554.4600493721917
52,2019-06-12,2020-03-26,266,1,8.5,46.0,92.0,224.0,589.0,1300,178.0,172.33082706766916,218.62799357449111,1.268652842295258,2.867432576757893,10.091988988360932,144.5804737407428
53,2019-06-15,2020-03-26,183,7,12.0,486.0,1601.0,2882.0,4770.4,9384,2396.0,1894.6994535519125,1719.4950933947123,0.907529207427198,1.0846449621132195,1.3343786777761588,1387.5130341306099
54,2019-06-05,2019-10-03,128,25,40.0,313.75,696.0,1199.75,2157.3999999999987,2850,886.0,835.1328125,667.6258366873616,0.7994247462134796,0.8953944025699677,0.05820787485525125,538.8201904296875
55,2019-06-05,2020-03-26,407,15,238.20000000000005,935.0,1368.0,1915.0,2845.6,4216,980.0,1465.3316953316953,796.5411128039912,0.5435909939992696,0.7291397812809572,0.8324861461326947,615.5592125518416
57,2019-06-05,2020-03-03,374,2,9.0,18.0,33.5,318.75,1672.299999999998,2570,300.75,357.3449197860963,619.2940556473802,1.7330428428032085,1.8875880797962346,2.6282338173587085,472.8819382881983
58,2019-06-05,2020-03-19,150,2,4.0,8.0,33.0,79.0,134.5999999999998,2484,71.0,73.55333333333333,236.52488373614779,3.2156922469339406,8.687529199007356,79.54384329309447,71.33751111111111
59,2019-06-05,2020-03-26,397,1,60.0,442.0,712.0,1020.0,1617.1999999999998,2836,578.0,764.4130982367758,465.38278003082064,0.6088105778201474,0.9294132467134847,1.6502423836633078,359.3847940155702
60,2019-06-11,2020-03-26,268,2,6.350000000000001,30.0,74.0,176.5,396.0,2318,146.5,138.82835820895522,213.77810702452044,1.5398734796154243,5.649256984914988,45.97014689000014,118.27433726887949
61,2019-06-05,2020-03-26,395,14,268.70000000000005,920.5,1424.0,1942.0,2901.5999999999995,4136,1021.5,1482.8101265822784,788.0321677185021,0.5314450944132904,0.5352949668650551,0.08128396841060193,625.8152219195642
62,2019-06-05,2020-03-26,397,7,155.8,337.0,502.0,691.0,1010.3999999999999,1908,354.0,531.3224181360201,275.4691898777712,0.5184595651810995,0.770308875868619,1.1989239029654284,216.19125811343264
63,2019-06-05,2020-03-26,409,7,84.0,420.0,588.0,804.0,1255.1999999999996,2700,384.0,636.2224938875306,371.08258010514413,0.5832591328824395,1.6060656050370006,6.285092849317774,265.0163377789468
