fecha,producto,udsventa
2015-06-29,24,1151
2015-06-29,18,771
2015-06-29,97,201
2015-06-29,57,1119
2015-06-29,22,423
2015-06-29,54,1093
2015-06-29,9,2833
2015-06-29,14,1842
2015-06-29,60,88
2015-06-29,71,637
2015-06-29,38,712
2015-06-29,21,1008
2015-06-29,10,2140
2015-06-29,17,525
2015-06-29,43,1052
2015-06-29,23,2013
2015-06-29,44,1539
2015-06-29,94,586
2015-06-29,59,314
2015-06-29,98,425
2015-06-29,78,686
2015-06-29,89,767
2015-06-29,20,1503
2015-06-29,49,738
2015-06-29,19,772
2015-06-29,68,84
2015-06-29,4,2597
2015-06-29,80,2046
2015-06-29,29,1169
2015-06-29,13,2036
2015-06-29,79,622
2015-06-29,16,1878
2015-06-29,96,354
2015-06-29,91,302
2015-06-29,74,86
2015-06-29,7,2361
2015-06-29,33,19
2015-06-29,70,552
2015-06-29,72,196
2015-06-29,67,715
2015-06-29,36,372
2015-06-29,26,580
2015-06-29,84,617
2015-06-29,82,430
2015-06-29,50,130
2015-06-29,61,792
2015-06-29,1,4959
2015-06-29,64,509
2015-06-29,88,1837
2015-06-29,87,958
2015-06-29,99,624
2015-06-29,73,1114
2015-06-30,13,1987
2015-06-30,73,707
2015-06-30,82,859
2015-06-30,64,541
2015-06-30,48,432
2015-06-30,75,464
2015-06-30,59,746
2015-06-30,20,1415
2015-06-30,89,528
2015-06-30,18,793
2015-06-30,33,1878
2015-06-30,87,297
2015-06-30,5,1571
2015-06-30,70,531
2015-06-30,88,1214
2015-06-30,4,1298
2015-06-30,24,1471
2015-06-30,84,612
2015-06-30,44,827
2015-06-30,30,1062
2015-06-30,23,1328
2015-06-30,98,237
2015-06-30,97,157
2015-06-30,49,811
2015-06-30,50,838
2015-06-30,7,2361
2015-06-30,66,418
2015-06-30,14,2022
2015-06-30,22,908
2015-06-30,1,6376
2015-06-30,36,782
2015-06-30,9,2125
2015-06-30,68,432
2015-06-30,54,779
2015-06-30,16,2109
2015-06-30,34,964
2015-06-30,40,723
2015-06-30,46,477
2015-06-30,35,1077
2015-06-30,43,1282
2015-06-30,38,1013
2015-06-30,91,453
2015-06-30,55,487
2015-06-30,53,686
2015-06-30,12,1608
2015-06-30,15,708
2015-06-30,63,295
2015-06-30,19,813
2015-06-30,21,1082
2015-06-30,42,334
2015-06-30,32,376
2015-06-30,71,761
2015-06-30,57,640
2015-06-30,96,248
2015-06-30,10,3188
2015-06-30,29,1398
2015-06-30,78,496
2015-06-30,74,277
2015-06-30,62,472
2015-06-30,17,1054
2015-06-30,61,512
2015-06-30,79,621
2015-06-30,60,162
2015-06-30,26,1004
2015-06-30,72,221
2015-06-30,94,301
2015-06-30,67,489
2015-07-01,17,1777
2015-07-01,73,1081
2015-07-01,98,389
2015-07-01,1,21962
2015-07-01,91,447
2015-07-01,22,1749
2015-07-01,87,346
2015-07-01,33,530
2015-07-01,49,762
2015-07-01,66,669
2015-07-01,70,787
2015-07-01,20,1001
2015-07-01,36,986
2015-07-01,40,1025
2015-07-01,50,870
2015-07-01,10,2789
2015-07-01,63,413
2015-07-01,13,1485
2015-07-01,44,1552
2015-07-01,57,1137
2015-07-01,34,39
2015-07-01,15,1062
2015-07-01,60,196
2015-07-01,54,1218
2015-07-01,78,421
2015-07-01,67,816
2015-07-01,75,494
2015-07-01,12,1766
2015-07-01,24,1535
2015-07-01,72,246
2015-07-01,23,1998
2015-07-01,48,954
2015-07-01,68,381
2015-07-01,30,1062
2015-07-01,46,472
2015-07-01,3,23379
2015-07-01,96,426
2015-07-01,82,787
2015-07-01,5,7276
2015-07-01,9,7793
2015-07-01,35,1057
2015-07-01,61,690
2015-07-01,21,959
2015-07-01,94,562
2015-07-01,62,452
2015-07-01,59,1418
2015-07-01,26,934
2015-07-01,7,5313
2015-07-01,53,1121
2015-07-01,74,221
2015-07-01,71,664
2015-07-01,88,1435
2015-07-01,38,1253
2015-07-01,32,767
2015-07-01,42,870
2015-07-01,4,5195
2015-07-01,89,697
2015-07-01,55,521
2015-07-01,97,184
2015-07-02,4,1948
2015-07-02,88,1499
2015-07-02,64,1113
2015-07-02,70,563
2015-07-02,42,575
2015-07-02,9,4250
2015-07-02,55,162
2015-07-02,74,276
2015-07-02,44,1222
2015-07-02,24,2263
2015-07-02,80,3376
2015-07-02,89,612
2015-07-02,40,1151
2015-07-02,66,255
2015-07-02,96,285
2015-07-02,98,173
2015-07-02,26,1119
2015-07-02,53,649
2015-07-02,20,1405
2015-07-02,23,1258
2015-07-02,67,525
2015-07-02,17,1987
2015-07-02,19,2068
2015-07-02,87,418
2015-07-02,34,275
2015-07-02,60,243
2015-07-02,59,1211
2015-07-02,68,444
2015-07-02,43,2956
2015-07-02,82,879
2015-07-02,61,671
2015-07-02,21,1771
2015-07-02,12,998
2015-07-02,50,1105
2015-07-02,13,1239
2015-07-02,18,2051
2015-07-02,1,6376
2015-07-02,84,1023
2015-07-02,57,619
2015-07-02,33,1279
2015-07-02,91,404
2015-07-02,7,3542
2015-07-02,79,1364
2015-07-02,22,1849
2015-07-02,94,416
2015-07-02,99,738
2015-07-02,62,477
2015-07-02,30,937
2015-07-02,73,562
2015-07-02,72,369
2015-07-02,48,457
2015-07-02,35,806
2015-07-02,32,376
2015-07-02,5,3350
2015-07-02,49,1303
2015-07-02,16,5189
2015-07-02,29,3643
2015-07-02,97,147
2015-07-02,78,900
2015-07-02,54,1093
2015-07-02,10,3645
2015-07-02,75,878
2015-07-02,71,803
2015-07-02,15,1416
2015-07-02,46,255
