producto,fecha_primera_venta,fecha_ultima_venta,freq_venta,venta_min,venta_q5,venta_q25,venta_median,venta_q75,venta_q95,venta_max,venta_iqr,venta_mean,venta_std,venta_CV,venta_skew,venta_kurtosis,venta_mad
1,2015-06-29,2020-03-21,1345,472,1416.0,4250.0,7084.0,9918.0,22529.199999999968,147363,5668.0,8841.721933085502,9745.587315931387,1.1018174764027833,5.313103791488412,46.37579531442234,5123.522608034715
10,2015-06-29,2020-03-20,1186,73,1018.0,1815.0,2450.0,3424.0,4797.0,27881,1609.0,2723.5067453625634,1615.9000539459876,0.5930657868031278,6.623266595624831,93.87465999143117,1019.8948184126787
11,2016-10-13,2020-03-21,813,0,551.0,1653.0,2204.0,3306.0,4408.0,26449,1653.0,2565.8843788437885,2247.204395463321,0.8752623244493756,6.229964210904765,51.92110601718303,1111.376872440311
12,2015-06-30,2020-03-21,1394,1,629.0,1318.0,1859.0,2581.0,3946.0499999999997,12863,1263.0,2043.6987087517934,1114.069926655034,0.5449287879527781,1.9692626869816199,10.757260660295888,814.3387030705484
13,2015-06-29,2020-03-20,1189,216,1111.0,1515.0,1958.0,2538.0,3749.0,5559,1023.0,2114.0832632464258,830.2624624354704,0.39256412472009283,1.0388512965956838,1.203810413142949,646.4615097321183
14,2015-06-29,2020-03-21,1356,7,198.75,1496.75,2240.5,3112.0,4704.25,9721,1615.25,2306.4410029498526,1437.6647013698112,0.6230961422417155,0.6464349238932545,1.2196554659742382,1101.5219868431357
15,2015-06-30,2020-03-21,1255,354,472.0,944.0,2125.0,2833.0,4959.0,106272,1889.0,2414.3314741035856,3861.366853558022,1.5987150874746439,17.575817902035375,430.7180916360704,1414.7726747194488
17,2015-06-29,2020-03-21,1448,4,199.0,1054.0,1655.0,2211.75,3039.95,6030,1157.75,1638.9164364640883,871.8213159657362,0.5317661116269403,0.2997021287885422,0.5696560395497561,687.8447324944294
18,2015-06-29,2020-03-21,1356,1,194.75,933.0,1614.0,2180.5,3259.25,9838,1247.5,1630.8532448377582,968.8039584004289,0.5938282104675319,1.080605271225396,4.561136098546948,742.5329291426283
19,2015-06-29,2020-03-21,1356,7,276.25,822.0,1365.0,1963.75,2918.5,7965,1141.75,1456.2241887905604,845.3835190916257,0.5803170614238812,1.0437453617336554,3.1728334995604266,662.5326311118073
2,2016-01-20,2020-03-21,1133,354,708.0,2125.0,3542.0,4959.0,7793.0,43925,2834.0,3842.5984112974406,3594.7738533573925,0.9350930600416262,5.129242867210675,41.072634801819284,2033.9967453175966
20,2015-06-29,2020-03-21,1285,1,59.60000000000001,1242.0,1622.0,2095.0,2577.3999999999996,3819,853.0,1617.3315175097275,658.2564130149766,0.40684313954247775,-0.5107382977677049,0.48185633711967535,512.387815106966
21,2015-06-29,2020-03-21,1431,196,934.0,1230.0,1426.0,1672.0,2017.0,4108,442.0,1458.6380153738644,382.7626192846593,0.2623192679194081,1.3327192531294514,6.606829472242385,276.06419010812294
22,2015-06-29,2020-03-21,1446,1,111.25,714.25,1171.0,1591.0,2378.25,4156,876.75,1164.3492392807746,676.0976233404601,0.5804648451505685,0.41725140096439245,0.1398106638239227,539.4269793717203
23,2015-06-29,2020-03-20,1268,1,218.4000000000001,1232.75,1716.5,2046.25,2509.899999999999,4832,813.5,1632.2610410094637,634.4814179844064,0.3885598950591076,-0.2189506113108643,1.428272155837818,496.6288088746031
24,2015-06-29,2020-03-21,1439,2,953.5,1205.0,1451.0,1773.5,2761.1,5254,568.5,1587.453787352328,586.8428711402292,0.36954709100148475,1.4813703630296844,3.855939784048693,427.04311010512765
26,2015-06-29,2020-03-21,1438,1,115.70000000000002,830.0,1105.0,1399.0,1921.2999999999997,2827,569.0,1078.4367176634214,540.0539508483724,0.5006006655846309,-0.05917202401120834,-0.029500548300969154,411.02500768916804
28,2016-07-15,2020-03-20,922,7,531.0,872.0,1276.0,1778.0,2382.6499999999996,5047,906.0,1346.119305856833,601.9327149699471,0.4469189291573199,0.6174429082822005,0.9363306893492673,497.4699629683655
29,2015-06-29,2020-03-19,1341,0,118.0,945.0,1376.0,1804.0,2830.0,6624,859.0,1375.979120059657,816.6808669055947,0.5933057368313936,0.5779687865380095,1.4583858604115454,617.9164958090531
3,2015-07-01,2020-03-21,1315,472,944.0,2833.0,3778.0,4959.0,9918.0,75098,2126.0,4588.443346007604,4387.6267466226345,0.9558706078408601,6.10184574779118,64.4803167778375,2217.0769136462864
30,2015-06-30,2020-03-21,1394,1,376.0,778.25,1151.0,1512.0,2472.0,7800,733.75,1234.7252510760402,671.0573530784973,0.5432922137311614,1.998291078822207,10.865277839279017,475.68066153570646
31,2016-05-14,2020-03-21,1172,88,332.0,708.0,974.0,1328.0,1963.0,5756,620.0,1054.3967576791808,539.608288920743,0.5115512994053065,1.8237602633227064,10.017097548047559,397.24205436289293
32,2015-06-30,2020-03-21,1394,1,346.0,715.5,1025.0,1335.0,2103.0,4774,619.5,1093.5473457675753,540.3510247879248,0.49394951116750613,1.2442539088630185,3.734780553898391,402.8991208479053
35,2015-06-30,2020-03-21,1394,1,389.50000000000006,806.0,1033.0,1333.0,1963.0,6159,527.0,1104.9239598278336,520.6573982022708,0.4710465463652689,2.1342860854925894,13.720669938657387,364.1481425827846
36,2015-06-29,2020-03-21,1447,4,95.0,638.5,892.0,1141.0,1540.4,2872,502.5,866.728403593642,433.64326207513227,0.5001490573088077,0.10035215229902884,0.49983058474406583,333.6217200327251
37,2016-08-18,2020-03-20,1000,7,73.0,163.5,255.0,540.0,1782.3499999999997,3255,376.5,510.496,582.4089200331103,1.1402981467740307,1.842805313633957,2.8030128657214037,439.570064
38,2015-06-29,2020-03-21,1448,6,81.0,653.0,958.0,1253.0,1793.6499999999999,2389,600.0,937.5165745856353,504.5914134643548,0.5380354435098493,0.033019021011366674,-0.37397387379089597,396.825947773267
