"id";"iniciopromo";"finpromo";"semanainicio";"semanafin";"Producto";"preciotarifa";"preciopromocion";"cantidad";"tipopromo"
"4";"2015-12-09 00:00:00";"2016-01-03 00:00:00";"50";"1";"88";"3,61050";"3,58050";"";""
"5";"2016-02-12 00:00:00";"2016-02-28 00:00:00";"7";"9";"33";"6,68682";"6,07569";"";""
"7";"2016-02-12 00:00:00";"2016-02-28 00:00:00";"7";"9";"34";"6,68682";"6,07569";"";""
"9";"2016-02-12 00:00:00";"2016-02-28 00:00:00";"7";"9";"33";"6,68682";"6,07569";"";""
"10";"2016-02-12 00:00:00";"2016-02-28 00:00:00";"7";"9";"34";"6,68682";"6,07569";"";""
"11";"2016-01-04 00:00:00";"2016-01-08 00:00:00";"2";"2";"46";"4,03941";"3,91902";"";""
"12";"2016-01-04 00:00:00";"2016-01-08 00:00:00";"2";"2";"46";"4,03941";"3,91902";"";""
"13";"2016-01-04 00:00:00";"2016-01-08 00:00:00";"2";"2";"46";"4,03941";"3,91902";"";""
"14";"2016-01-04 00:00:00";"2016-01-08 00:00:00";"2";"2";"46";"4,03941";"3,91902";"";""
"15";"2016-01-05 00:00:00";"2016-01-15 00:00:00";"2";"3";"32";"4,26300";"4,18500";"";""
"16";"2016-01-05 00:00:00";"2016-01-15 00:00:00";"2";"3";"32";"4,26300";"4,18500";"";""
"17";"2016-01-05 00:00:00";"2016-01-15 00:00:00";"2";"3";"32";"4,26300";"4,18500";"";""
"18";"2016-01-05 00:00:00";"2016-01-15 00:00:00";"2";"3";"32";"4,26300";"4,18500";"";""
"19";"2016-01-13 00:00:00";"2016-01-22 00:00:00";"3";"4";"30";"4,39350";"4,41750";"";""
"20";"2016-01-13 00:00:00";"2016-01-22 00:00:00";"3";"4";"30";"4,39350";"4,41750";"";""
"21";"2016-01-13 00:00:00";"2016-01-22 00:00:00";"3";"4";"30";"4,39350";"4,41750";"";""
"22";"2016-01-13 00:00:00";"2016-01-22 00:00:00";"3";"4";"30";"4,39350";"4,41750";"";""
"23";"2016-01-16 00:00:00";"2016-01-25 00:00:00";"3";"5";"64";"3,85497";"3,66048";"";""
"24";"2016-01-23 00:00:00";"2016-02-01 00:00:00";"4";"6";"16";"4,02375";"4,04922";"";""
"27";"2015-12-30 00:00:00";"2016-01-30 00:00:00";"53";"5";"19";"4,39176";"4,45842";"";""
"28";"2016-01-14 00:00:00";"2016-01-30 00:00:00";"3";"5";"33";"6,21702";"4,98387";"";""
"29";"2016-01-14 00:00:00";"2016-01-30 00:00:00";"3";"5";"34";"6,21702";"4,98387";"";""
"30";"2015-12-28 00:00:00";"2016-01-16 00:00:00";"53";"3";"57";"3,46260";"3,14340";"";""
"37";"2016-01-05 00:00:00";"2016-01-25 00:00:00";"2";"5";"50";"5,68980";"5,59395";"";""
"38";"2016-01-05 00:00:00";"2016-01-25 00:00:00";"2";"5";"50";"5,68980";"5,59395";"";""
"39";"2016-01-05 00:00:00";"2016-01-25 00:00:00";"2";"5";"50";"5,68980";"5,59395";"";""
"40";"2015-12-28 00:00:00";"2016-01-10 00:00:00";"53";"2";"44";"3,61050";"3,58050";"";""
"43";"2015-12-30 00:00:00";"2016-01-09 00:00:00";"53";"2";"87";"4,95900";"5,02200";"";""
"44";"2015-12-30 00:00:00";"2016-01-09 00:00:00";"53";"2";"70";"4,17600";"4,18500";"";""
"47";"2016-01-11 00:00:00";"2016-01-16 00:00:00";"3";"3";"94";"3,69750";"3,67350";"";""
"48";"2016-01-29 00:00:00";"2016-02-05 00:00:00";"5";"6";"42";"4,74150";"4,65000";"";""
"49";"2016-01-29 00:00:00";"2016-02-05 00:00:00";"5";"6";"42";"4,74150";"4,65000";"";""
"50";"2016-01-29 00:00:00";"2016-02-05 00:00:00";"5";"6";"42";"4,74150";"4,65000";"";""
"51";"2016-01-29 00:00:00";"2016-02-05 00:00:00";"5";"6";"42";"4,74150";"4,65000";"";""
"52";"2016-02-05 00:00:00";"2016-02-12 00:00:00";"6";"7";"35";"4,65450";"4,37100";"";""
"53";"2016-02-05 00:00:00";"2016-02-12 00:00:00";"6";"7";"35";"4,65450";"4,37100";"";""
"54";"2016-02-05 00:00:00";"2016-02-12 00:00:00";"6";"7";"35";"4,65450";"4,37100";"";""
"55";"2016-02-05 00:00:00";"2016-02-12 00:00:00";"6";"7";"35";"4,65450";"4,37100";"";""
"56";"2016-02-17 00:00:00";"2016-02-25 00:00:00";"8";"9";"40";"4,87200";"4,83600";"";""
"57";"2016-02-17 00:00:00";"2016-02-25 00:00:00";"8";"9";"40";"4,87200";"4,83600";"";""
"58";"2016-02-17 00:00:00";"2016-02-25 00:00:00";"8";"9";"40";"4,87200";"4,83600";"";""
"59";"2016-02-17 00:00:00";"2016-02-25 00:00:00";"8";"9";"40";"4,87200";"4,83600";"";""
"60";"2016-01-11 00:00:00";"2016-01-18 00:00:00";"3";"4";"59";"4,99380";"4,80810";"";""
"61";"2016-01-11 00:00:00";"2016-01-18 00:00:00";"3";"4";"67";"4,39350";"4,23150";"";""
"62";"2016-01-11 00:00:00";"2016-01-16 00:00:00";"3";"3";"71";"3,61050";"3,58050";"";""
"63";"2016-01-11 00:00:00";"2016-01-16 00:00:00";"3";"3";"70";"4,17600";"4,18500";"";""
"64";"2016-01-27 00:00:00";"2016-02-11 00:00:00";"5";"7";"38";"3,67140";"3,92460";"";"MERCANCÍA SIN CARGO"
"65";"2016-01-27 00:00:00";"2016-02-11 00:00:00";"5";"7";"26";"3,67140";"3,92460";"";"MERCANCÍA SIN CARGO"
"67";"2016-01-27 00:00:00";"2016-02-11 00:00:00";"5";"7";"36";"3,65400";"3,90600";"";"MERCANCÍA SIN CARGO"
"69";"2016-01-27 00:00:00";"2016-02-11 00:00:00";"5";"7";"38";"3,67140";"3,92460";"";"MERCANCÍA SIN CARGO"
