"fecha";"Producto";"udsStock"
"2019-11-14";"38";"1342"
"2019-11-14";"82";"738"
"2019-11-14";"10";"3360"
"2019-11-14";"14";"3058"
"2019-11-14";"57";"24"
"2019-11-14";"23";"186"
"2019-11-14";"73";"982"
"2019-11-14";"50";"1662"
"2019-11-14";"43";"798"
"2019-11-14";"26";"2208"
"2019-11-14";"20";"4100"
"2019-11-14";"75";"1144"
"2019-11-14";"55";"4064"
"2019-11-14";"35";"2672"
"2019-11-14";"62";"540"
"2019-11-14";"48";"1332"
"2019-11-14";"66";"624"
"2019-11-14";"87";"410"
"2019-11-14";"61";"2076"
"2019-11-14";"13";"6960"
"2019-11-14";"98";"740"
"2019-11-14";"97";"190"
"2019-11-14";"96";"1456"
"2019-11-14";"74";"8072"
"2019-11-14";"22";"2538"
"2019-11-14";"4";"1086"
"2019-11-14";"1";"2440"
"2019-11-14";"68";"782"
"2019-11-14";"18";"4350"
"2019-11-14";"59";"812"
"2019-11-14";"36";"2000"
"2019-11-14";"30";"944"
"2019-11-14";"84";"288"
"2019-11-14";"29";"1428"
"2019-11-14";"64";"284"
"2019-11-14";"79";"672"
"2019-11-14";"17";"3072"
"2019-11-14";"16";"2746"
"2019-11-14";"46";"3792"
"2019-11-14";"40";"1776"
"2019-11-14";"12";"3120"
"2019-11-14";"42";"984"
"2019-11-14";"94";"836"
"2019-11-14";"67";"392"
"2019-11-14";"9";"1008"
"2019-11-14";"15";"216"
"2019-11-14";"72";"1160"
"2019-11-14";"19";"2360"
"2019-11-14";"63";"372"
"2019-11-14";"63";"372"
"2019-11-14";"3";"3560"
"2019-11-14";"49";"1196"
"2019-11-14";"21";"3120"
"2019-11-14";"91";"38"
"2019-11-14";"89";"48"
"2019-11-14";"78";"80"
"2019-11-14";"88";"96"
"2019-11-14";"24";"1360"
"2019-11-14";"32";"1424"
"2019-11-14";"2";"128"
"2019-11-14";"69";"2052"
"2019-11-14";"31";"1888"
"2019-11-14";"45";"1300"
"2019-11-14";"28";"1268"
"2019-11-14";"37";"556"
"2019-11-14";"52";"144"
"2019-11-14";"11";"20560"
"2019-11-14";"77";"854"
"2019-11-14";"47";"1674"
"2019-11-15";"38";"2012"
"2019-11-15";"82";"1374"
"2019-11-15";"10";"2544"
"2019-11-15";"14";"2788"
"2019-11-15";"57";"24"
"2019-11-15";"23";"778"
"2019-11-15";"73";"1016"
"2019-11-15";"50";"174"
"2019-11-15";"43";"1362"
"2019-11-15";"26";"1822"
"2019-11-15";"20";"4126"
"2019-11-15";"75";"1036"
"2019-11-15";"55";"1768"
"2019-11-15";"35";"1664"
"2019-11-15";"62";"912"
"2019-11-15";"48";"1296"
"2019-11-15";"66";"864"
"2019-11-15";"87";"560"
"2019-11-15";"61";"2330"
"2019-11-15";"13";"4292"
"2019-11-15";"98";"966"
"2019-11-15";"97";"94"
"2019-11-15";"96";"1258"
"2019-11-15";"74";"6692"
"2019-11-15";"22";"2204"
"2019-11-15";"22";"2204"
"2019-11-15";"4";"1312"
"2019-11-15";"1";"4904"
"2019-11-15";"68";"814"
"2019-11-15";"18";"3084"
"2019-11-15";"59";"870"
"2019-11-15";"36";"1142"
"2019-11-15";"30";"1984"
"2019-11-15";"29";"2462"
"2019-11-15";"64";"650"
"2019-11-15";"79";"660"
"2019-11-15";"17";"2688"
"2019-11-15";"16";"1720"
"2019-11-15";"46";"2704"
"2019-11-15";"40";"1272"
"2019-11-15";"12";"1552"
"2019-11-15";"42";"948"
"2019-11-15";"94";"924"
"2019-11-15";"67";"952"
"2019-11-15";"9";"3256"
"2019-11-15";"15";"1376"
"2019-11-15";"72";"1480"
"2019-11-15";"19";"3158"
"2019-11-15";"63";"132"
"2019-11-15";"3";"504"
"2019-11-15";"49";"1004"
"2019-11-15";"21";"3560"
"2019-11-15";"91";"86"
"2019-11-15";"89";"30"
"2019-11-15";"78";"76"
"2019-11-15";"88";"78"
"2019-11-15";"24";"1556"
"2019-11-15";"32";"1652"
"2019-11-15";"2";"6408"
"2019-11-15";"69";"1572"
"2019-11-15";"31";"976"
"2019-11-15";"45";"1866"
"2019-11-15";"28";"2716"
"2019-11-15";"37";"410"
"2019-11-15";"58";"20"
"2019-11-15";"11";"21980"
"2019-11-15";"77";"396"
"2019-11-15";"47";"1090"
"2019-11-15";"85";"12"
"2019-11-16";"38";"2470"
"2019-11-16";"82";"968"
"2019-11-16";"10";"504"
"2019-11-16";"57";"24"
"2019-11-16";"23";"708"
"2019-11-16";"73";"944"
"2019-11-16";"50";"2416"
"2019-11-16";"43";"708"
"2019-11-16";"26";"2974"
"2019-11-16";"20";"2892"
"2019-11-16";"75";"532"
"2019-11-16";"55";"3760"
"2019-11-16";"35";"2304"
"2019-11-16";"62";"744"
"2019-11-16";"48";"1800"
"2019-11-16";"66";"1120"
"2019-11-16";"87";"598"
"2019-11-16";"61";"2130"
"2019-11-16";"13";"2528"
"2019-11-16";"98";"444"
"2019-11-16";"97";"506"
"2019-11-16";"96";"1378"
"2019-11-16";"74";"6460"
"2019-11-16";"22";"2406"
"2019-11-16";"4";"5808"
"2019-11-16";"1";"12888"
"2019-11-16";"68";"1162"
"2019-11-16";"18";"2672"
"2019-11-16";"59";"554"
"2019-11-16";"36";"1112"
"2019-11-16";"30";"2400"
"2019-11-16";"84";"70"
"2019-11-16";"29";"2"
"2019-11-16";"17";"2116"
"2019-11-16";"16";"396"
"2019-11-16";"46";"2096"
"2019-11-16";"40";"1464"
"2019-11-16";"12";"2624"
"2019-11-16";"42";"1164"
"2019-11-16";"94";"948"
"2019-11-16";"67";"28"
"2019-11-16";"9";"6432"
"2019-11-16";"15";"2488"
"2019-11-16";"72";"600"
"2019-11-16";"19";"1530"
"2019-11-16";"63";"960"
"2019-11-16";"21";"2600"
"2019-11-16";"89";"14"
"2019-11-16";"88";"78"
"2019-11-16";"24";"1360"
"2019-11-16";"32";"1632"
"2019-11-16";"2";"8488"
"2019-11-16";"69";"2184"
"2019-11-16";"31";"1872"
"2019-11-16";"45";"364"
"2019-11-16";"28";"820"
"2019-11-16";"37";"598"
"2019-11-16";"11";"4664"
"2019-11-16";"77";"870"
"2019-11-16";"47";"1228"
