"Producto";"fecha";"udsPrevisionEmpresa"
"82";"2019-03-06";"7793,2800"
"75";"2020-02-27";"1726,9200"
"20";"2020-03-09";"13658,9040"
"61";"2019-05-23";"10136,9220"
"30";"2019-07-16";"1216,2240"
"9";"2019-10-02";"9446,4000"
"84";"2020-03-06";"2046,7200"
"91";"2019-03-14";"817,9500"
"70";"2019-05-31";"15059,3820"
"18";"2019-10-10";"18634,9920"
"63";"2019-10-21";"1031,7240"
"60";"2019-12-31";"1698,8760"
"57";"2020-02-11";"145,1400"
"2";"2020-02-22";"13224,9600"
"66";"2020-03-13";"4965,2640"
"43";"2019-05-07";"7333,9980"
"82";"2019-10-07";"3857,2800"
"5";"2019-12-19";"17189,4960"
"69";"2020-01-08";"3467,1240"
"66";"2020-02-19";"1871,5680"
"57";"2020-03-05";"79,2120"
"52";"2019-05-15";"11329,5300"
"57";"2019-08-09";"968,0100"
"69";"2019-12-16";"3973,3920"
"15";"2019-12-14";"1983,7440"
"14";"2019-12-27";"10700,0160"
"55";"2019-03-11";"3963,5520"
"88";"2019-05-24";"6549,9960"
"97";"2019-06-24";"2890,0080"
"3";"2019-07-15";"7084,8000"
"15";"2019-11-21";"5289,9840"
"23";"2020-01-04";",0000"
"79";"2019-05-16";"9894,6120"
"94";"2019-01-31";"282,6540"
"91";"2019-10-09";"2338,4760"
"91";"2019-10-15";"3869,0880"
"24";"2019-11-29";"14976,2340"
"2";"2020-02-28";"16531,2000"
"94";"2020-03-01";"46,4940"
"9";"2019-03-01";"8501,7600"
"71";"2019-04-25";"2634,6600"
"79";"2019-06-08";"612,2940"
"20";"2019-08-13";"2257,2960"
"82";"2019-10-01";"1889,2800"
"24";"2019-12-22";"73,8000"
"94";"2020-02-07";"2356,6800"
"80";"2019-05-03";"6888,0000"
"97";"2019-06-01";"716,3520"
"21";"2019-07-08";"698,6400"
"12";"2019-07-23";"2202,1920"
"29";"2019-08-21";"6860,9400"
"73";"2019-09-23";"1792,8480"
"72";"2019-11-04";"2558,4000"
"43";"2019-12-02";"4858,9920"
"95";"2019-07-23";"732,8340"
"9";"2019-09-26";"3306,2400"
"32";"2019-12-20";"6954,9120"
"96";"2020-01-09";"1052,8800"
"3";"2020-01-17";"7651,5840"
"22";"2019-06-25";"3504,7620"
"55";"2019-09-07";"397,5360"
"61";"2019-12-18";"4572,6480"
"58";"2020-01-29";"87,0840"
"9";"2019-03-07";"19837,4400"
"14";"2019-06-01";"2975,3700"
"17";"2019-10-23";"10376,2800"
"14";"2019-12-04";"15108,8280"
"78";"2019-12-24";"1182,7680"
"92";"2019-03-01";"8076,6720"
"35";"2019-04-16";"29654,8080"
"78";"2019-05-29";"8382,9420"
"69";"2019-06-13";"2962,3320"
"40";"2019-07-11";"1935,0360"
"31";"2019-07-26";"982,0320"
"79";"2020-01-03";"3796,2720"
"13";"2020-01-09";"14889,8880"
"40";"2020-01-13";"1352,0160"
"55";"2019-03-05";"6541,6320"
"34";"2019-05-22";"12835,2960"
"32";"2019-06-17";"3554,2080"
"59";"2019-06-21";"3099,6000"
"66";"2019-08-17";"585,4800"
"36";"2019-10-03";"4128,8640"
"35";"2019-11-08";"10579,9680"
"62";"2019-11-12";"1372,6800"
"87";"2020-01-24";"3381,5160"
"48";"2020-02-03";"1518,8040"
"42";"2019-06-12";"1797,7680"
"67";"2019-07-12";"2851,6320"
"88";"2019-12-19";"1713,6360"
"73";"2019-03-21";"2715,5940"
"16";"2019-05-06";"24601,9680"
"50";"2019-07-06";"369,0000"
"54";"2019-10-19";"1,2300"
"12";"2020-02-17";"6155,9040"
"24";"2019-05-27";"28430,7120"
"76";"2019-08-12";"678,9600"
"98";"2019-11-15";"1682,6400"
"46";"2020-03-26";"1441,5600"
"53";"2019-04-03";"12618,3240"
"4";"2019-06-29";"6612,4800"
"1";"2019-08-13";"4345,3440"
"38";"2019-09-04";"735,7860"
"10";"2019-09-13";"6807,3120"
"16";"2019-11-05";"8854,5240"
"34";"2019-11-18";"354,2400"
"22";"2020-01-20";"4739,1900"
"62";"2019-04-11";"13121,6400"
"68";"2019-06-26";"1842,0480"
"10";"2019-08-21";"11660,4000"
