feature,correlation_pearson,pvalue_pearson,sign_pearson,correlation_spearman,pvalue_spearman,sign_spearman,correlation_kendall,pvalue_kendall,sign_kendall
udsstock_shifted1,0.7658819425158455,0.0,1.0,0.7451274333956602,0.0,1.0,0.5828875149920152,0.0,1.0
roll4_udstock_shifted1,0.6430096633697986,0.0,1.0,0.7289912012951391,0.0,1.0,0.554050885192355,0.0,1.0
roll4wd_udsstock_shifted1,0.5176279671547284,0.0,1.0,0.6855354465655303,0.0,1.0,0.5216538764170873,0.0,1.0
roll4wd_udsstock_shifted7,0.4047605860000441,0.0,1.0,0.5983717555739132,0.0,1.0,0.4499923435560032,0.0,1.0
udsstock_shifted7,0.33258942430960836,0.0,1.0,0.5800685057624869,0.0,1.0,0.43151826677781413,0.0,1.0
roll4wd_udsprevisionempresa,0.3517482426589371,0.0,1.0,0.3665252791557518,0.0,1.0,0.2578613175939061,0.0,1.0
udsventa_shifted1,0.3176916952667413,9.499593359744082e-302,1.0,0.36175033052066496,0.0,1.0,0.2606901270023979,0.0,1.0
udsprevisionempresa,0.37799938503501096,0.0,1.0,0.3375864768946521,0.0,1.0,0.23906946131808895,0.0,1.0
udsprevisionempresa_shifted-5,0.31864408559024754,1.1996795757135138e-303,1.0,0.30662932395271236,3.352849087616719e-280,1.0,0.217340438395101,1.8054219717511666e-290,1.0
udsprevisionempresa_shifted-6,0.3123828429517519,2.7178757597798905e-291,1.0,0.2996059376685976,5.351341217579732e-267,1.0,0.2129693679557855,1.274909176045464e-278,1.0
udsprevisionempresa_shifted-7,0.33061137239240246,0.0,1.0,0.2854266401304562,1.890506916225844e-241,1.0,0.20343340871249066,2.586863174322658e-254,1.0
udsprevisionempresa_shifted-4,0.32153235600051344,1.89899477724498e-309,1.0,0.2714625379322772,1.0474664728836939e-217,1.0,0.19140996206642466,3.891118378210294e-226,1.0
udsprevisionempresa_shifted-1,0.30813559582834427,4.424170557714279e-283,1.0,0.259040264431473,9.722835732291708e-198,1.0,0.18462665104653245,1.4878424398421704e-211,1.0
udsprevisionempresa_shifted-3,0.30419376778717044,1.3982087065248337e-275,1.0,0.2365085797621777,3.196269865578446e-164,1.0,0.16594043646228437,9.41475470095694e-171,1.0
udsprevisionempresa_shifted-2,0.29137430234396033,5.479550772889247e-252,1.0,0.23431241601913766,3.8801419084403285e-161,1.0,0.16491885472164686,5.933925377289684e-169,1.0
cos_weekday,0.05860354926685213,2.4448281851612306e-11,-1.0,0.10629465471293133,6.9742886839953305e-34,-1.0,0.07543189907632833,2.4015268774232702e-33,-1.0
promo,0.000754288862575541,0.9315765335298585,-1.0,0.09436657078893695,4.9886531758177654e-27,1.0,0.07709237982138349,6.430465432528049e-27,1.0
working_day,0.04491169905285744,3.1386545857859754e-07,1.0,0.06694721526383998,2.3616153908363326e-14,1.0,0.05469225069805053,2.5150241734804546e-14,1.0
summer,0.0029259551103139924,0.7390851026354546,-1.0,0.04186888537158439,1.8600062240205684e-06,1.0,0.034204612785850616,1.8768302487689926e-06,1.0
autumn,0.01649885072201331,0.06035261291438857,-1.0,0.030658029888457606,0.00048183779873308986,-1.0,0.02504595075328715,0.0004829543004210403,-1.0
festivo,0.023569893926686306,0.007288698744824118,-1.0,0.029485200661181425,0.000787759727750655,-1.0,0.0240878127654501,0.0007892870305575937,-1.0
quarter,0.023963948364745837,0.006367474491870581,-1.0,0.023850522761071094,0.006621267154499891,-1.0,0.018861477032428582,0.004639172782684054,-1.0
spring,0.006935236244662577,0.429846427729988,1.0,0.0192031355301441,0.028807267998017076,1.0,0.015687922170685993,0.02881275721485106,1.0
month,0.015660423958056714,0.07462680141373519,-1.0,0.016115052435385264,0.06657804432013201,-1.0,0.012041308202934926,0.050833014323745276,-1.0
is_august,0.0067350879462714335,0.4432773923276528,1.0,0.01010813090655852,0.24987699702032531,1.0,0.008257795749255215,0.24986168526132757,1.0
winter,0.017605869589804847,0.0450433580938649,1.0,0.007750002672753482,0.3776665431433126,-1.0,0.006331332638980375,0.37764609855411446,-1.0
weekofyear,0.010255604585389669,0.24303410624550972,-1.0,0.004563184196566008,0.6034577129177358,-1.0,0.003924117316890157,0.5089531565167458,-1.0
sin_weekday,0.014286919496217704,0.10386936414853683,-1.0,0.0009668701301136138,0.912361922287082,-1.0,0.0005726017737361039,0.9272244432948009,-1.0
