features,rank_rfe,lasso_order,lasso_value,rf_order,rf_value
udsstock_shifted1,1,0,45006.493118682876,0,0.5747019719855709
roll4_udstock_shifted1,2,5,1863.0778926866258,1,0.08582819335589756
udsprevisionempresa,3,1,3643.0777829432573,5,0.024780784661066004
udsprevisionempresa_shifted-4,4,10,481.98989815238065,6,0.024355115946231687
roll4wd_udsstock_shifted7,5,2,3242.900044969031,4,0.024958137153470124
roll4wd_udsprevisionempresa,6,3,2870.5368863677704,3,0.0260875780422197
udsventa_shifted1,7,27,0.0,8,0.02357796713721151
roll4wd_udsstock_shifted1,8,4,2792.7904568374056,7,0.023730755880635276
promo,9,16,87.74509042576764,2,0.03516013577990461
udsstock_shifted7,10,6,1258.0793606747693,9,0.02019377112136599
udsprevisionempresa_shifted-3,11,12,291.44535857227265,12,0.01586216433313099
udsprevisionempresa_shifted-7,12,8,938.4395690183075,10,0.01722045588746371
udsprevisionempresa_shifted-1,13,21,50.90691462067374,13,0.015072968548508774
weekofyear,14,24,0.0,14,0.014489691369590751
udsprevisionempresa_shifted-5,15,9,484.3090502585399,11,0.01643952695129069
udsprevisionempresa_shifted-2,16,11,468.5130049899121,15,0.014189261627155782
sin_weekday,17,14,141.0444613476153,17,0.012312491394024468
udsprevisionempresa_shifted-6,18,7,1028.8368299939586,16,0.012329394139451355
cos_weekday,19,17,84.00684272786721,18,0.006879059408650448
month,20,22,23.31131791273227,19,0.0036621768325617566
summer,21,25,0.0,20,0.0023112953496771393
quarter,22,23,0.0,22,0.0012915467535584925
is_august,23,20,51.82356054354732,21,0.0016446448286584802
autumn,24,15,95.81783423374227,23,0.0011222818955879052
working_day,25,13,213.88818620913378,25,0.0007524154882113033
winter,26,19,60.49248601395643,24,0.0008251864868643487
festivo,27,18,76.77694825241966,26,0.0001809879521526239
spring,28,26,0.0,27,4.00396898875787e-05
