features,rank_rfe,lasso_order,lasso_value,rf_order,rf_value
udsstock_shifted1,1,0,615.0507614373258,0,0.154992538869507
udsventa_shifted1,2,3,342.120338452531,3,0.06691337887717333
roll4_udstock_shifted1,3,8,191.76707055778863,2,0.1012994804056049
cos_weekday,4,1,456.1776439627719,1,0.1479143362148778
roll4wd_udsstock_shifted7,5,15,59.53297785206699,5,0.04837375327441455
roll4wd_udsstock_shifted1,6,19,19.24569243709837,4,0.05709289416941929
udsprevisionempresa_shifted-4,7,17,31.67709935215963,7,0.042341990274511604
roll4wd_udsprevisionempresa,8,2,390.1403777312735,6,0.042536978722608636
weekofyear,9,24,0.0,10,0.03376373311466013
udsprevisionempresa_shifted-1,10,25,0.0,9,0.037846267557164165
udsstock_shifted7,11,12,74.24419978879554,8,0.0390845790480886
udsprevisionempresa_shifted-3,12,20,13.479253307499665,14,0.02860120566555148
udsprevisionempresa_shifted-5,13,18,24.93837313373877,11,0.03167554261449288
udsprevisionempresa_shifted-2,14,23,0.0,12,0.030730025525485486
udsprevisionempresa_shifted-7,15,16,47.95389037450581,13,0.029822239758189272
udsprevisionempresa_shifted-6,16,9,179.36493785564858,15,0.02777310904068613
udsprevisionempresa,17,27,0.0,16,0.02763429199463562
sin_weekday,18,21,11.920603992113312,17,0.014427263827872011
working_day,19,6,206.22361387580483,19,0.006710591428332987
month,20,22,0.0,18,0.008993640901916462
summer,21,26,0.0,21,0.005118863336622632
festivo,22,10,112.17561693203322,20,0.006294117818951098
quarter,23,4,210.13908726696548,22,0.00281720429247214
is_august,24,11,111.28495354228777,23,0.0020609457568389585
winter,25,5,206.39713476969555,25,0.0015020495254466346
autumn,26,13,70.08362405860494,24,0.0018167600343432946
promo,27,14,68.6849212233638,27,0.0005928879134500345
spring,28,7,203.46561158847845,26,0.0012693300366829006
