y_pred,y_real,type,fecha,producto,modelo
19020.575,18275.0,train,2019-06-05,1,ALL
2801.92,2920.0,train,2019-06-11,1,ALL
6244.84,6731.0,train,2019-06-12,1,ALL
10524.35,7241.0,train,2019-06-13,1,ALL
3795.045,3850.0,train,2019-06-14,1,ALL
14491.755,13430.0,train,2019-06-15,1,ALL
602.95,407.0,train,2019-06-17,1,ALL
4800.44,5051.0,train,2019-06-18,1,ALL
4520.46,2571.0,train,2019-06-19,1,ALL
4962.985,3708.0,train,2019-06-20,1,ALL
1719.235,484.0,train,2019-06-21,1,ALL
11822.045,12616.0,train,2019-06-22,1,ALL
4292.485,4238.0,train,2019-06-25,1,ALL
3776.44,4722.0,train,2019-07-03,1,ALL
11546.905,11621.0,train,2019-07-10,1,ALL
4050.135,4657.0,train,2019-07-11,1,ALL
9969.725,11408.0,train,2019-07-12,1,ALL
4693.93,4619.0,train,2019-07-15,1,ALL
4748.27,5504.0,train,2019-07-16,1,ALL
4387.165,4354.0,train,2019-07-18,1,ALL
4945.075,2603.0,train,2019-07-19,1,ALL
12089.475,11350.0,train,2019-07-20,1,ALL
2176.765,2048.0,train,2019-07-22,1,ALL
3268.365,2642.0,train,2019-07-23,1,ALL
6192.25,5659.0,train,2019-07-24,1,ALL
4247.605,4354.0,train,2019-07-25,1,ALL
6502.52,6072.0,train,2019-07-26,1,ALL
1763.135,1725.0,train,2019-07-29,1,ALL
3078.6,3307.0,train,2019-07-30,1,ALL
9955.205,11964.0,train,2019-07-31,1,ALL
4443.515,4561.0,train,2019-08-01,1,ALL
14606.285,15704.0,train,2019-08-03,1,ALL
5398.825,4367.0,train,2019-08-07,1,ALL
13168.1,14664.0,train,2019-08-13,1,ALL
31224.915,36802.0,train,2019-08-16,1,ALL
41077.08,51299.0,train,2019-08-17,1,ALL
33742.605,40756.0,train,2019-08-19,1,ALL
13166.255,10998.0,train,2019-08-20,1,ALL
14334.42,18146.0,train,2019-08-21,1,ALL
1198.845,568.0,train,2019-08-22,1,ALL
12786.705,5807.0,train,2019-08-23,1,ALL
3704.75,2778.0,train,2019-09-10,1,ALL
4225.05,4134.0,train,2019-09-12,1,ALL
12819.135,12797.0,train,2019-09-14,1,ALL
1594.825,1460.0,train,2019-09-18,1,ALL
20091.475,16996.0,train,2019-09-20,1,ALL
22502.06,28798.0,train,2019-09-21,1,ALL
16758.01,19496.0,train,2019-09-23,1,ALL
32068.765,32823.0,train,2019-09-24,1,ALL
