producto,fecha_primera_venta,fecha_ultima_venta,fecha_primer_stock,fecha_ultimo_stock
16,2015-06-29,2020-01-23,2019-06-05,2020-01-23
44,2015-06-29,2019-11-05,2019-06-05,2019-10-05
47,2017-01-24,2020-01-23,2019-06-05,2020-01-23
54,2015-06-29,2019-12-23,2019-06-05,2019-10-03
7,2015-06-29,2019-06-21,2019-06-05,2019-07-30
70,2015-06-29,2020-02-24,2019-06-05,2019-06-05
71,2015-06-29,2019-12-24,2019-06-05,2020-02-27
75,2015-06-30,2020-02-21,2019-06-05,2020-02-26
76,2016-11-02,2019-12-26,2019-06-11,2019-10-21
82,2015-06-29,2019-11-29,2019-06-05,2019-12-21
